Hybridization REF	TCGA-02-0001-01C-01R-0179-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
15E1.2	-1.0698
2'-PDE	0.37135
7A5	-1.58433333333333
A1BG	0.708875
A2BP1	2.42075
A2M	2.8104
A2ML1	0.304666666666667
A3GALT2	-0.0756
A4GALT	-0.37675
A4GNT	0.203333333333333
AAAS	0.1416
AACS	-0.958
AADAC	-0.0292
AADACL1	0.5818
AADACL2	0.115
AADACL3	0.154666666666667
AADACL4	-0.512333333333333
AADAT	-0.063
AAK1	0.173764705882353
AAMP	-0.4704
AANAT	0.209
AARS	-0.8205
AARS2	-0.571
AARSD1	-0.7017
AASDH	-0.224090909090909
AASDHPPT	-0.0440769230769231
AASS	1.702
AATF	-0.9273
AATK	0.492307692307692
ABAT	1.27976923076923
ABBA-1	0.604733333333333
ABCA1	2.939125
ABCA10	-0.028
ABCA11	-1.26233333333333
ABCA12	-2.4212
ABCA13	0.477818181818182
ABCA2	0.7084
ABCA3	1.50590909090909
ABCA4	-0.324888888888889
ABCA5	-1.5068
ABCA6	0.729538461538462
ABCA7	-2.0746
ABCA8	2.2072
ABCA9	1.01238461538462
ABCB1	1.89345454545455
ABCB10	-0.97925
ABCB11	0.022
ABCB4	-0.257
ABCB5	-0.00466666666666667
ABCB6	-0.146384615384615
ABCB7	0.1068
ABCB8	0.0245
ABCB9	-0.005375
ABCC1	-2.746375
ABCC10	-0.776
ABCC11	-0.035125
ABCC12	0.589625
ABCC13	0.165272727272727
ABCC2	-3.31422222222222
ABCC3	2.15454545454545
ABCC4	-0.9619375
ABCC5	-0.3232
ABCC6	-0.835166666666667
ABCC8	1.249
ABCC9	0.595818181818182
ABCD1	0.276333333333333
ABCD2	1.93983333333333
ABCD3	0.506142857142857
ABCD4	0.751875
ABCE1	-0.5432
ABCF1	-0.754076923076923
ABCF2	-0.365727272727273
ABCF3	0.260125
ABCG1	0.492
ABCG2	1.795
ABCG4	0.825333333333333
ABCG5	-2.6168
ABCG8	-0.158333333333333
ABHD1	1.7922
ABHD10	-0.697538461538462
ABHD11	0.591384615384615
ABHD12	0.630076923076923
ABHD12B	-0.9112
ABHD13	0.567692307692308
ABHD14A	1.334
ABHD14B	-0.4038
ABHD2	0.0566428571428572
ABHD3	-0.705
ABHD4	1.3184
ABHD5	0.3432
ABHD6	2.1988
ABHD7	0.5854
ABHD8	0.4566
ABHD9	-0.0456666666666667
ABI1	0.497875
ABI2	0.523375
ABI3	1.9366
ABI3BP	-0.2806
ABL1	-0.466
ABL2	-0.202466666666667
ABLIM1	0.655625
ABLIM2	1.3268
ABLIM3	0.208538461538462
ABO	-0.0245
ABP1	-0.191636363636364
ABR	1.048
ABRA	0.018
ABT1	-0.5366
ABTB1	-0.036125
ABTB2	-0.3366
ACAA1	0.283230769230769
ACAA2	-0.244909090909091
ACACA	-0.842125
ACACB	0.6226
ACAD10	-0.5821875
ACAD11	-0.853357142857143
ACAD8	0.323
ACAD9	-1.0704
ACADL	0.764125
ACADM	-0.0187272727272727
ACADS	-0.313214285714286
ACADSB	-0.948
ACADVL	-1.009875
ACAN	0.559166666666667
ACAT1	-0.7705
ACBD3	0.722846153846154
ACBD4	-0.186090909090909
ACBD5	0.7966
ACBD6	-0.274
ACCN1	1.324
ACCN2	1.0564
ACCN3	0.124333333333333
ACCN4	1.624375
ACCN5	-0.0723333333333333
ACD	-0.645125
ACE	-0.0941666666666667
ACE2	0.395
ACF	-2.369
ACHE	0.541875
ACIN1	-0.9045
ACLY	-0.915272727272727
ACMSD	-0.5428
ACN9	1.1726
ACO1	-0.102
ACOT11	0.503789473684211
ACOT12	0.5424
ACOT2	-0.00225000000000002
ACOT4	-0.6672
ACOT6	1.6014
ACOT7	-0.546090909090909
ACOT8	0.1376
ACOT9	-0.10325
ACOX1	0.675571428571429
ACOX2	2.61225
ACOX3	-0.386090909090909
ACP1	-0.314125
ACP2	-0.0765
ACP5	-1.14825
ACP6	1.03125
ACPL2	1.442
ACPP	-0.191846153846154
ACPT	0.13925
ACR	0.732461538461538
ACRBP	-0.5012
ACRC	0.2216
ACRV1	-0.005375
ACSBG1	2.7604
ACSBG2	0.1806
ACSL1	1.4632
ACSL3	0.2444
ACSL4	-0.6788
ACSL5	-0.247125
ACSL6	1.62963636363636
ACSM1	-0.785
ACSM2A	-0.399
ACSM2B	-1.2778
ACSM3	-3.31266666666667
ACSS1	-1.2898
ACSS2	-1.3005
ACTA1	-1.513125
ACTA2	2.3775
ACTB	0.623047619047619
ACTBL1	-1.7058
ACTC1	-0.00853846153846152
ACTG1	-0.370857142857143
ACTG2	-0.950230769230769
ACTL6A	-0.56725
ACTL6B	1.14475
ACTL7A	0.1004
ACTL7B	-0.147
ACTL8	-2.651
ACTN1	-0.0375384615384616
ACTN2	4.3422
ACTN3	-0.315
ACTN4	-0.0552222222222222
ACTR10	0.8705
ACTR1A	0.566055555555556
ACTR1B	0.125
ACTR2	-0.357846153846154
ACTR3	0.0511
ACTR3B	0.2842
ACTR5	-1.5832
ACTR6	0.1948
ACTR8	0.4971
ACTRT1	-0.196666666666667
ACTRT2	0.4185
ACVR1	0.98025
ACVR1B	0.405125
ACVR1C	0.680625
ACVR2A	0.35075
ACVR2B	-2.01155555555556
ACVRL1	1.55623076923077
ACY1	-0.6846
ACY1L2	-1.26833333333333
ACY3	0.157
ACYP1	-0.9972
ACYP2	2.37936363636364
ADA	-3.5686
ADAD1	0.1856
ADAD2	1.0918
ADAL	-0.3914
ADAM10	-0.2786
ADAM11	0.484625
ADAM12	0.962583333333333
ADAM15	-0.951875
ADAM17	1.0171
ADAM18	-0.102166666666667
ADAM19	0.169769230769231
ADAM2	-0.98375
ADAM20	0.1486
ADAM21	0.680333333333333
ADAM22	1.24554545454545
ADAM23	-0.2525
ADAM28	2.17166666666667
ADAM29	0.0184
ADAM30	0.3662
ADAM32	0.382
ADAM33	-0.113333333333333
ADAM5P	-0.821333333333333
ADAM7	0.245666666666667
ADAM8	-0.254727272727273
ADAM9	0.44875
ADAMDEC1	1.5102
ADAMTS1	-0.242923076923077
ADAMTS10	0.52825
ADAMTS12	-0.662125
ADAMTS13	-0.267
ADAMTS14	0.1787
ADAMTS15	0.198
ADAMTS16	0.0566363636363636
ADAMTS17	0.103333333333333
ADAMTS18	0.87075
ADAMTS19	-1.9818
ADAMTS2	0.0426666666666667
ADAMTS20	0.324666666666667
ADAMTS3	-0.245
ADAMTS4	1.02533333333333
ADAMTS5	0.2772
ADAMTS6	-0.058625
