Hybridization REF	TCGA-02-0006-01B-01R-0179-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
15E1.2	-1.4202
2'-PDE	-0.25835
7A5	-0.679
A1BG	1.049125
A2BP1	1.36725
A2M	3.3224
A2ML1	1.362
A3GALT2	-0.0168
A4GALT	0.523875
A4GNT	0.204
AAAS	-1.2186
AACS	-1.4358
AADAC	0.3394
AADACL1	0.3278
AADACL2	0.2164
AADACL3	0.198333333333333
AADACL4	-0.307333333333333
AADAT	0.4243
AAK1	0.0741764705882353
AAMP	-0.619
AANAT	0.272
AARS	-1.058375
AARS2	-0.275
AARSD1	-0.4334
AASDH	0.479545454545455
AASDHPPT	0.585846153846154
AASS	0.8626
AATF	-0.9278
AATK	0.894307692307692
ABAT	2.01676923076923
ABBA-1	0.536066666666667
ABCA1	3.087875
ABCA10	0.0316666666666667
ABCA11	-0.885
ABCA12	-2.3854
ABCA13	0.897545454545455
ABCA2	-1.1176
ABCA3	0.809545454545454
ABCA4	-0.650111111111111
ABCA5	0.2689
ABCA6	0.907384615384615
ABCA7	-1.875
ABCA8	1.482
ABCA9	0.379769230769231
ABCB1	0.176181818181818
ABCB10	-1.12933333333333
ABCB11	-0.0256666666666667
ABCB4	0.2046
ABCB5	0.0453333333333333
ABCB6	-0.0309230769230769
ABCB7	-0.244
ABCB8	-0.921625
ABCB9	0.03975
ABCC1	-2.5655
ABCC10	-0.5774
ABCC11	0.86475
ABCC12	0.119125
ABCC13	0.0617272727272727
ABCC2	-2.78666666666667
ABCC3	0.273818181818182
ABCC4	-1.663
ABCC5	-0.369733333333333
ABCC6	-0.564055555555556
ABCC8	0.1786
ABCC9	1.04763636363636
ABCD1	-0.368666666666667
ABCD2	1.04583333333333
ABCD3	0.0587142857142857
ABCD4	0.850125
ABCE1	-0.264
ABCF1	-0.643615384615385
ABCF2	-0.984090909090909
ABCF3	-0.516125
ABCG1	1.97266666666667
ABCG2	0.4792
ABCG4	0.0966666666666667
ABCG5	-1.8282
ABCG8	-0.069
ABHD1	0.7646
ABHD10	-0.322153846153846
ABHD11	-0.280230769230769
ABHD12	0.450153846153846
ABHD12B	-0.908
ABHD13	-0.147615384615385
ABHD14A	-0.0766
ABHD14B	-0.4786
ABHD2	-0.137428571428571
ABHD3	-1.5008
ABHD4	0.52
ABHD5	-0.1624
ABHD6	1.4686
ABHD7	0.307
ABHD8	-0.357
ABHD9	0.539666666666667
ABI1	-0.05625
ABI2	-0.074625
ABI3	2.379
ABI3BP	1.033
ABL1	-0.4536
ABL2	-0.426333333333333
ABLIM1	0.88125
ABLIM2	0.3416
ABLIM3	0.0385384615384615
ABO	0.0045
ABP1	0.313636363636364
ABR	0.7624
ABRA	0.0166
ABT1	-0.2252
ABTB1	-0.176375
ABTB2	-0.1522
ACAA1	0.405538461538462
ACAA2	0.159818181818182
ACACA	-0.605375
ACACB	-0.1774
ACAD10	-0.327125
ACAD11	-0.149214285714286
ACAD8	0.3826
ACAD9	-0.3232
ACADL	0.90025
ACADM	-0.345454545454545
ACADS	0.0472142857142857
ACADSB	-1.08229166666667
ACADVL	-0.672875
ACAN	1.5615
ACAT1	-0.718833333333333
ACBD3	0.471076923076923
ACBD4	0.2
ACBD5	0.6458
ACBD6	-0.442
ACCN1	0.284
ACCN2	2.1798
ACCN3	0.188666666666667
ACCN4	0.395375
ACCN5	0.0433333333333333
ACD	-0.8505
ACE	0.2795
ACE2	0.263
ACF	-2.4746
ACHE	0.25825
ACIN1	-0.57475
ACLY	-0.282818181818182
ACMSD	-0.2386
ACN9	1.3128
ACO1	-0.60825
ACOT11	0.217
ACOT12	0.2226
ACOT2	0.288625
ACOT4	-0.7424
ACOT6	0.9964
ACOT7	-1.74654545454545
ACOT8	0.3732
ACOT9	-0.084375
ACOX1	0.547428571428571
ACOX2	1.00825
ACOX3	0.0880909090909091
ACP1	-0.297375
ACP2	-0.494166666666667
ACP5	1.13125
ACP6	-1.072875
ACPL2	1.6156
ACPP	-0.112307692307692
ACPT	0.4255
ACR	0.405769230769231
ACRBP	-0.732
ACRC	-0.457
ACRV1	0.107
ACSBG1	2.605
ACSBG2	0.2402
ACSL1	1.382
ACSL3	-0.0599
ACSL4	-1.1298
ACSL5	-0.796125
ACSL6	1.68027272727273
ACSM1	-0.976333333333333
ACSM2A	-0.201
ACSM2B	-0.4348
ACSM3	-2.87566666666667
ACSS1	-0.4102
ACSS2	-1.07925
ACTA1	-1.2595
ACTA2	3.2215
ACTB	0.932904761904762
ACTBL1	-0.9976
ACTC1	0.660615384615385
ACTG1	0.491714285714286
ACTG2	1.70869230769231
ACTL6A	-0.407
ACTL6B	0.961375
ACTL7A	0.1898
ACTL7B	-0.0052
ACTL8	-1.9405
ACTN1	0.994153846153846
ACTN2	3.2786
ACTN3	-0.251333333333333
ACTN4	-1.29611111111111
ACTR10	0.80825
ACTR1A	0.0472222222222222
ACTR1B	-0.4394
ACTR2	0.303384615384615
ACTR3	-0.6531
ACTR3B	-0.2463
ACTR5	-0.9122
ACTR6	0.7306
ACTR8	0.2896
ACTRT1	0.508666666666667
ACTRT2	0.440666666666667
ACVR1	0.75575
ACVR1B	0.657
ACVR1C	-0.125
ACVR2A	0.008625
ACVR2B	-1.30766666666667
ACVRL1	1.44584615384615
ACY1	-1.0774
ACY1L2	0.661666666666667
ACY3	-0.0524
ACYP1	0.0508
ACYP2	2.52354545454545
ADA	-1.8788
ADAD1	0.7142
ADAD2	0.8608
ADAL	0.8834
ADAM10	-0.9074
ADAM11	-0.18625
ADAM12	0.113666666666667
ADAM15	-0.81425
ADAM17	0.5588
ADAM18	-0.39
ADAM19	0.332692307692308
ADAM2	-0.5905
ADAM20	0.4168
ADAM21	0.496
ADAM22	0.283090909090909
ADAM23	-1.3545
ADAM28	2.21866666666667
ADAM29	0.281
ADAM30	0.081
ADAM32	-0.345
ADAM33	0.1245
ADAM5P	-0.1
ADAM7	0.224333333333333
ADAM8	2.98581818181818
ADAM9	-0.0125
ADAMDEC1	2.1904
ADAMTS1	-0.552461538461538
ADAMTS10	0.501875
ADAMTS12	0.279375
ADAMTS13	0.0271818181818182
ADAMTS14	-0.3099
ADAMTS15	0.556666666666667
ADAMTS16	0.135
ADAMTS17	-0.110666666666667
ADAMTS18	0.499375
ADAMTS19	-1.5092
ADAMTS2	0.102933333333333
ADAMTS20	0.187666666666667
ADAMTS3	0.494692307692308
ADAMTS4	0.865444444444444
ADAMTS5	2.1334
ADAMTS6	-0.126625
ADAMTS7	0.641307692307692
ADAMTS8	0.6392
ADAMTS9	1.27646153846154
