Hybridization REF	TCGA-06-0147-01A-01R-0213-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
15E1.2	-1.264
2'-PDE	-0.10025
7A5	-1.11733333333333
A1BG	0.327125
A2BP1	1.179375
A2M	3.574
A2ML1	0.632
A3GALT2	-0.1988
A4GALT	0.7185
A4GNT	0.0236666666666667
AAAS	-0.5956
AACS	-1.5658
AADAC	-0.8556
AADACL1	0.8222
AADACL2	-0.4062
AADACL3	-0.005
AADACL4	0.0453333333333333
AADAT	-0.4102
AAK1	0.513647058823529
AAMP	-0.3526
AANAT	0.486333333333333
AARS	-0.786625
AARS2	-0.266875
AARSD1	-1.0553
AASDH	-0.0728181818181818
AASDHPPT	-0.306
AASS	-0.1906
AATF	-0.6295
AATK	1.54315384615385
ABAT	0.332461538461538
ABBA-1	0.5396
ABCA1	2.815625
ABCA10	-0.147333333333333
ABCA11	-0.598666666666667
ABCA12	-2.9524
ABCA13	1.54463636363636
ABCA2	0.9056
ABCA3	1.38281818181818
ABCA4	-0.169111111111111
ABCA5	-1.1553
ABCA6	2.63307692307692
ABCA7	-0.5674
ABCA8	3.0502
ABCA9	2.28353846153846
ABCB1	1.53545454545455
ABCB10	-1.52841666666667
ABCB11	0.122666666666667
ABCB4	-0.206
ABCB5	0.152333333333333
ABCB6	-0.957615384615385
ABCB7	-0.5602
ABCB8	-0.3205
ABCB9	-0.00650000000000001
ABCC1	-1.66275
ABCC10	0.0214
ABCC11	-0.09275
ABCC12	0.299375
ABCC13	-0.330545454545455
ABCC2	-3.71922222222222
ABCC3	0.985909090909091
ABCC4	-1.0339375
ABCC5	0.3234
ABCC6	-1.08561111111111
ABCC8	1.391
ABCC9	0.843727272727273
ABCD1	0.401
ABCD2	0.789833333333333
ABCD3	-1.0615
ABCD4	0.49975
ABCE1	-0.1714
ABCF1	-0.148384615384615
ABCF2	-0.477
ABCF3	0.357125
ABCG1	2.667
ABCG2	-0.1292
ABCG4	0.0785
ABCG5	-4.0078
ABCG8	-0.00833333333333334
ABHD1	0.0558
ABHD10	-0.674384615384615
ABHD11	-0.657923076923077
ABHD12	1.28392307692308
ABHD12B	-1.1416
ABHD13	-0.217692307692308
ABHD14A	0.5628
ABHD14B	-0.0869
ABHD2	0.343678571428571
ABHD3	-0.7886
ABHD4	1.1204
ABHD5	-0.0806
ABHD6	1.9162
ABHD7	-0.332
ABHD8	0.7606
ABHD9	0.773
ABI1	0.367625
ABI2	-0.294875
ABI3	4.3508
ABI3BP	1.1738
ABL1	-0.07192
ABL2	0.2746
ABLIM1	-0.1305
ABLIM2	0.3356
ABLIM3	0.677846153846154
ABO	-0.31775
ABP1	-0.152090909090909
ABR	1.577
ABRA	0.0238
ABT1	-0.6486
ABTB1	0.841375
ABTB2	0.015
ACAA1	0.606076923076923
ACAA2	0.301818181818182
ACACA	-1.1395625
ACACB	-0.1006
ACAD10	-0.427625
ACAD11	-0.253428571428571
ACAD8	0.3608
ACAD9	0.3185
ACADL	0.0555
ACADM	-1.13672727272727
ACADS	0.056
ACADSB	-1.61170833333333
ACADVL	-0.02875
ACAN	3.478
ACAT1	-1.11616666666667
ACBD3	0.320076923076923
ACBD4	0.428636363636364
ACBD5	0.4898
ACBD6	-0.9068
ACCN1	0.10275
ACCN2	-0.5
ACCN3	0.0896666666666667
ACCN4	0.25275
ACCN5	-0.488666666666667
ACD	-0.6025
ACE	-0.280333333333333
ACE2	-1.507
ACF	-3.1424
ACHE	0.228375
ACIN1	0.181625
ACLY	-0.714636363636364
ACMSD	-0.2002
ACN9	-0.142
ACO1	-0.75725
ACOT11	-0.103
ACOT12	-0.2172
ACOT2	-0.043625
ACOT4	0.6046
ACOT6	1.621
ACOT7	-1.54145454545455
ACOT8	0.6706
ACOT9	-0.0265
ACOX1	0.180357142857143
ACOX2	0.652
ACOX3	0.707454545454545
ACP1	-0.7515
ACP2	0.567166666666667
ACP5	3.182375
ACP6	-0.26225
ACPL2	1.4466
ACPP	0.348384615384615
ACPT	0.078875
ACR	0.219076923076923
ACRBP	-0.9048
ACRC	0.096
ACRV1	-0.146875
ACSBG1	1.934
ACSBG2	0.4974
ACSL1	2.4922
ACSL3	-0.9368
ACSL4	-0.8242
ACSL5	0.7405
ACSL6	0.394909090909091
ACSM1	-1.17266666666667
ACSM2A	-1.2574
ACSM2B	-2.446
ACSM3	-4.42366666666667
ACSS1	-0.19
ACSS2	-0.694125
ACTA1	-1.753
ACTA2	4.272
ACTB	1.54661904761905
ACTBL1	-0.7982
ACTC1	0.579
ACTG1	0.379428571428571
ACTG2	1.61515384615385
ACTL6A	-0.877625
ACTL6B	0.574125
ACTL7A	0.1038
ACTL7B	-0.2258
ACTL8	-3.140375
ACTN1	0.852461538461538
ACTN2	3.8638
ACTN3	0.793666666666667
ACTN4	0.215888888888889
ACTR10	-0.442125
ACTR1A	0.673444444444444
ACTR1B	-0.4488
ACTR2	0.552923076923077
ACTR3	-0.0226
ACTR3B	-1.1454
ACTR5	-0.7424
ACTR6	-0.0258
ACTR8	0.2361
ACTRT1	-0.208666666666667
ACTRT2	0.679833333333333
ACVR1	0.56775
ACVR1B	0.3285
ACVR1C	-0.501
ACVR2A	0.234
ACVR2B	-1.10322222222222
ACVRL1	2.62746153846154
ACY1	-0.8976
ACY1L2	-0.214666666666667
ACY3	-0.538
ACYP1	-1.3352
ACYP2	1.15090909090909
ADA	-2.1708
ADAD1	-0.0858
ADAD2	0.861
ADAL	0.5836
ADAM10	-0.1736
ADAM11	-0.377625
ADAM12	1.48775
ADAM15	-0.6096875
ADAM17	1.1535
ADAM18	0.0213333333333333
ADAM19	1.12507692307692
ADAM2	-1.65275
ADAM20	0.0692
ADAM21	0.205333333333333
ADAM22	1.098
ADAM23	-1.12466666666667
ADAM28	4.35516666666667
ADAM29	-0.3848
ADAM30	0.2172
ADAM32	0.501333333333333
ADAM33	-0.0308333333333333
ADAM5P	0.161333333333333
ADAM7	-0.0456666666666667
ADAM8	2.28054545454545
ADAM9	-0.2375625
ADAMDEC1	7.2002
ADAMTS1	-0.538692307692308
ADAMTS10	1.05975
ADAMTS12	0.590375
ADAMTS13	-0.0342727272727273
ADAMTS14	0.0213
ADAMTS15	-0.106
ADAMTS16	-0.0266363636363636
ADAMTS17	0.464666666666667
ADAMTS18	2.9505
ADAMTS19	-1.9098
ADAMTS2	0.869333333333333
ADAMTS20	-0.126166666666667
ADAMTS3	0.229538461538462
ADAMTS4	1.50122222222222
ADAMTS5	1.7292
ADAMTS6	-0.338875
ADAMTS7	0.755230769230769
ADAMTS8	-0.3498
ADAMTS9	2.35653846153846
ADAMTSL1	-0.115888888888889
ADAMTSL2	2.36725
ADAMTSL3	1.51746153846154
ADAMTSL4	-0.879375
ADAMTSL5	-0.792428571428571
ADAR	0.2198
ADARB1	-0.7033
ADARB2	2.51085714285714
ADAT1	-0.775692307692308
ADAT2	-0.999375
ADAT3	0.304875
ADC	1.672375
ADCK1	-0.593
ADCK2	0.520846153846154
ADCK4	0.36325
ADCK5	-0.3162
ADCY1	0.0755
ADCY2	1.91475
ADCY3	0.389
ADCY4	3.7645
ADCY5	0.567636363636364
ADCY6	-0.58725
ADCY7	0.827
ADCY8	-0.294875
ADCY9	0.339363636363636
ADCYAP1	0.6315
ADCYAP1R1	0.386333333333333
ADD1	0.771
ADD2	-1.09216666666667
ADD3	0.4744
ADFP	0.219875
ADH1A	-0.0936666666666667
ADH1B	0.255333333333333
ADH1C	0.0716666666666667
ADH4	-3.841
ADH5	-0.6416
ADH6	-2.374375
ADH7	0.4982
ADHFE1	0.6268
ADI1	0.547266666666667
ADIG	0.384
ADIPOQ	0.24625
ADIPOR1	-0.163875
ADIPOR2	0.4422
ADK	-1.463
ADM	2.00445454545455
ADM2	-0.229375
ADMR	-0.180333333333333
ADNP	-0.4516
ADNP2	-0.4094
ADORA1	2.1154
ADORA2A	-0.7395
ADORA2B	0.054875
ADORA3	5.9745
ADPGK	0.6256
ADPRH	2.197125
ADPRHL1	-2.1615
ADPRHL2	0.4492
ADRA1A	0.2242
ADRA1B	1.3432
ADRA1D	0.303
ADRA2A	2.64375
ADRA2B	0.610125
ADRA2C	-2.88125
ADRB1	0.952125
ADRB2	1.4406
ADRB3	-0.0636666666666667
ADRBK1	0.0894
ADRBK2	1.51575
ADRM1	-0.4579375
ADSL	-1.15628571428571
ADSS	-0.9705
ADSSL1	-0.344375
AEBP1	1.0475
AEBP2	-0.663933333333333
AES	-0.167888888888889
AFAP1	0.73
AFAP1L1	0.4915
AFAP1L2	0.2355
AFAR3	0.1168
AFF1	0.707272727272727
AFF2	-0.858
AFF3	0.437157894736842
AFF4	-0.210052631578947
AFG3L1	-0.90375
AFG3L2	-1.00825
AFM	-0.556625
AFMID	-1.5524
AFP	-4.235625
AFTPH	0.635714285714286
AGA	-0.1832
AGBL2	-0.8976
AGBL3	0.8858
AGBL5	-0.760125
AGER	-0.072
AGGF1	0.478555555555555
