Hybridization REF	TCGA-06-0675-11A-01R-0344-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.362625
CREB3L1	0.0613333333333334
RPS11	0.1419
PNMA1	2.7556
MMP2	-1.875875
C10orf90	0.6648
ZHX3	0.820875
ERCC5	-0.1468
GPR98	0.659666666666667
RXFP3	0.543333333333333
APBB2	0.0156
PRO0478	-0.224181818181818
KLHL13	-0.357
PRSSL1	-0.577875
PDCL3	-0.439125
DECR1	-0.5814
SALL1	0.361375
CADM4	1.028
RPS18	-0.0221578947368421
HNRPD	-0.942066666666667
CFHR5	-0.277625
SLC10A7	-0.483727272727273
OR2K2	0.994
LMAN1	-2.78081818181818
SUHW1	-1.879
CHD8	-0.998
SUMO1	0.949384615384616
GP1BA	0.403307692307692
DDB1	-0.9965
MYO9B	-0.876714285714286
MMP7	-0.6364
CRNKL1	-0.8112
C9orf45	0.0415
XAB2	-0.497
RTN1	4.8276
KLHL14	0.2167
TBX10	0.05
CENPQ	-1.0582
UTY	-0.900368421052632
ZBTB12	0.054
DTNBP1	0.9745
KBTBD8	0.7985
ZEB1	1.208125
ZG16	-0.4974
MIER1	-0.0270769230769231
ADAM5P	-0.212666666666667
CHD9	-0.305952380952381
STK16	1.1604
KIAA1486	0.983
TOB2	-0.2621875
BANK1	2.503
OR2V2	0.3652
GRM2	0.59625
PROSC	0.4034
SPIN2B	1.4936
PIR	-1.17663636363636
IPO9	-0.468285714285714
EVC	-1.365625
CXCL13	0.69525
KIAA1199	-0.046
SORL1	2.1218
NAT10	-0.8438
CHD1	-2.0352
SYN3	1.3978
SLC22A2	0.8208
SERPINF1	0.114375
WDR34	-1.793
OR7A17	0.2504
C9orf11	0.582
RNF216L	0.1655
LHB	1.36366666666667
STK25	0.4049
TAOK3	1.2636
LOC152573	-1.6168
C3orf39	1.3283
C14orf108	-0.158538461538462
CDC25B	-1.70307142857143
BMP3	0.543333333333333
TMEM180	0.927
MAP1LC3C	0.2496
CRYGC	0.232333333333333
POU3F1	-0.187153846153846
C20orf32	-0.0833333333333333
CCDC95	-0.326
HIGD1B	5.0316
USP6NL	-0.9821
ABCD4	0.10625
DIMT1L	-0.09525
TEK	2.07218181818182
SLC25A46	-0.034
LARP7	-1.07942857142857
CD160	0.054125
MT1JP	2.63228571428571
PHF20	-0.548142857142857
CPNE4	4.8062
GTPBP1	-0.495526315789474
RAB33B	1.205
ALDOC	2.54027272727273
ZNF212	-0.7784
NUDT1	-1.576375
RFPL2	4.50233333333333
ZNF83	-0.87375
GDPD5	-0.1968
PDCD4	0.422576923076923
CEP350	-0.5994
OR10A2	0.5958
CST7	-1.4632
CIAO1	-0.7774
SELL	0.463181818181818
OR8J3	0.124
LTBP4	-0.07875
SIRT6	-0.2252
CCL19	3.1134
PPIL1	0.151875
GBP7	0.151
STK17A	-0.707769230769231
ABR	3.0598
OR9G1	0.923
FOXE1	-0.1081
CNGA3	1.98733333333333
GML	0.382666666666667
CD38	-2.5014
ZDHHC6	-0.365125
NEFH	2.1134
CTDSP2	-0.8320625
PGBD5	2.25744444444444
CCNY	1.05811111111111
RMND5B	-0.0548125
ZNF257	-1.848
FLJ22167	0.7566
EXOSC7	-0.9505
ROR2	-0.4595
MAOA	1.65963636363636
TNNT3	0.4125
GYPC	-0.95
C7orf33	-0.599666666666667
PLIN	1.425375
LOC90826	-0.4602
RNF4	-0.152230769230769
F8A1	0.55025
PLEKHG4	-2.9432
GRB2	0.453296296296296
HIST1H2AD	-1.5676
DUS3L	-0.983
EIF1	-0.15675
RP5-1077B9.4	-0.764555555555555
FPGT	-0.1694
GDF10	3.218375
COQ9	0.1478
GCC2	0.577888888888889
RARRES3	1.98009090909091
PLXNA1	0.265857142857143
KIAA0100	-0.753357142857143
PMF1	-0.229
FNDC1	0.8894
HS2ST1	0.401625
CRELD2	-0.2548
C8G	-1.05133333333333
CD82	-0.3314
LIM2	-0.278
UNQ6490	0.742666666666667
MMP16	0.338333333333333
DRD3	-0.0606666666666667
C5orf26	0.6026
C11orf73	0.4067
PTP4A2	0.0737
OR4M2	0.161333333333333
HPCA	0.391
SEC14L1	-0.210375
CHFR	-0.690545454545455
EMILIN1	-0.0264
NDUFS4	0.9544
COL18A1	-1.6161
