Hybridization REF	TCGA-12-0654-01B-01R-0340-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0746875
CREB3L1	-0.1125
RPS11	0.0147
PNMA1	0.3816
MMP2	-1.6285
C10orf90	-0.6332
ZHX3	1.46875
ERCC5	0.6224
GPR98	0.297454545454545
RXFP3	0.0233333333333333
APBB2	-0.2732
PRO0478	0.255545454545455
KLHL13	0.4514
PRSSL1	-0.3205
PDCL3	-0.150625
DECR1	0.3226
SALL1	1.535875
CADM4	2.114625
RPS18	0.236052631578947
HNRPD	-0.746466666666667
CFHR5	-0.109
SLC10A7	-0.373090909090909
OR2K2	0.146666666666667
LMAN1	-1.74809090909091
SUHW1	-1.842
CHD8	-0.105769230769231
SUMO1	0.435769230769231
GP1BA	0.278846153846154
DDB1	-0.37675
MYO9B	0.260785714285714
MMP7	3.664
CRNKL1	-0.4346
C9orf45	-0.4475
XAB2	-0.8261
RTN1	2.2069
KLHL14	-0.0882
TBX10	0.0916666666666667
CENPQ	-1.219
UTY	-0.850263157894737
ZBTB12	0.062
DTNBP1	0.1744
KBTBD8	-0.00362499999999998
ZEB1	2.1685
ZG16	-0.9784
MIER1	0.0598461538461539
ADAM5P	0.521666666666667
CHD9	0.00847619047619048
STK16	0.6568
KIAA1486	0.213666666666667
TOB2	1.0896875
BANK1	1.9326
OR2V2	0.4408
GRM2	0.28575
PROSC	-0.2888
SPIN2B	0.0658
PIR	-0.847181818181818
IPO9	-0.155285714285714
EVC	0.726125
CXCL13	0.23475
KIAA1199	-0.276384615384615
SORL1	3.0168
NAT10	-0.1316
CHD1	-0.2992
SYN3	0.1544
SLC22A2	0.0376
SERPINF1	-0.695625
WDR34	-0.1758
OR7A17	0.2678
C9orf11	0.854333333333333
RNF216L	1.78291666666667
LHB	0.440666666666667
STK25	-0.8941
TAOK3	1.7722
LOC152573	-0.1034
C3orf39	0.3932
C14orf108	-0.874846153846154
CDC25B	-1.08207142857143
BMP3	0.382333333333333
TMEM180	0.602333333333333
MAP1LC3C	0.8456
CRYGC	-0.195333333333333
POU3F1	0.257
C20orf32	0.176666666666667
CCDC95	-0.267
HIGD1B	4.032
USP6NL	-0.2251
ABCD4	0.344875
DIMT1L	-0.398875
TEK	0.968272727272727
SLC25A46	-0.434
LARP7	-0.154785714285714
CD160	-0.196625
MT1JP	2.30314285714286
PHF20	-0.410142857142857
CPNE4	3.3044
GTPBP1	-0.0255789473684211
RAB33B	0.21125
ALDOC	0.519181818181818
ZNF212	0.148
NUDT1	0.0275
RFPL2	-0.799666666666667
ZNF83	-0.081375
GDPD5	-0.7087
PDCD4	-0.5105
CEP350	0.141
OR10A2	0.3926
CST7	-1.0464
CIAO1	-1.0424
SELL	0.433272727272727
OR8J3	0.0543333333333333
LTBP4	-0.62925
SIRT6	-0.2516
CCL19	0.8578
PPIL1	-0.094
GBP7	-0.435875
STK17A	2.03253846153846
ABR	2.1526
OR9G1	-0.1625
FOXE1	-0.1198
CNGA3	2.48266666666667
GML	0.212
CD38	-1.5404
ZDHHC6	-0.382625
NEFH	-1.838
CTDSP2	-6.25000000000278e-05
PGBD5	-0.691666666666667
CCNY	0.0935555555555556
RMND5B	-0.405125
ZNF257	-2.196
FLJ22167	0.7142
EXOSC7	-1.089875
ROR2	-0.5215
MAOA	0.101727272727273
TNNT3	0.35525
GYPC	-1.44133333333333
C7orf33	0.190666666666667
PLIN	-0.02425
LOC90826	0.2352
RNF4	0.631307692307692
F8A1	0.178625
PLEKHG4	-3.3186
GRB2	-0.319555555555556
HIST1H2AD	0.227
DUS3L	-1.059
EIF1	-0.1175
RP5-1077B9.4	-0.824444444444444
FPGT	1.1426
GDF10	0.472375
COQ9	-0.433
GCC2	-0.206277777777778
RARRES3	2.74663636363636
PLXNA1	0.480928571428571
KIAA0100	0.0751428571428572
PMF1	-0.6956
FNDC1	4.2024
HS2ST1	0.113
CRELD2	0.6446
C8G	-1.14033333333333
CD82	-0.1228
LIM2	-0.259333333333333
UNQ6490	0.158666666666667
MMP16	0.295
DRD3	0.0958333333333333
C5orf26	-0.4044
C11orf73	-0.6363
PTP4A2	0.8278
OR4M2	0.269333333333333
HPCA	-2.08425
SEC14L1	0.693625
CHFR	0.191818181818182
EMILIN1	0.727
NDUFS4	0.1158
COL18A1	-0.0472
PDZD3	0.312538461538462
C9orf16	0.341375
ERBB2IP	1.073
EMX2	4.3766
FUS	-2.4558
TF	-3.36615384615385
CLCN4	0.89825
CXorf56	-1.1606
C11orf72	0.231166666666667
ELAC2	-0.6156
NPR1	-1.214
ASS1	-2.67311111111111
USP42	0.9411
POLR2J	0.717333333333333
SEC23IP	-0.6295
UQCRC1	-0.6182
LOC729603	-0.176
C1orf71	-1.1865
POLG	-1.4255
ADAM23	-0.857333333333333
TFR2	-0.3084
RICTOR	-1.046
MGC39606	1.3406
C19orf55	0.0491818181818182
SNAPC1	-1.1065
GNA11	0.0597272727272727
CCDC52	-1.112375
FSIP1	1.861
UPF3A	-0.8722
IGSF11	1.60325
LAGE3	-0.1396
CHST6	2.524
UNC13B	0.0103636363636364
TTLL4	-0.973272727272727
ZNF687	-0.2213
SDC2	-0.2505
COX7A2	-0.5332
LAMB4	1.7906
FAM24A	0.551
LRRTM3	-0.820714285714286
GPHB5	0.4792
OR4C13	-0.231333333333333
EIF3EIP	0.386333333333333
HABP4	0.812333333333333
TMEM125	-1.9706
CNTN2	1.51145454545455
ASNSD1	-0.0664
FUT4	-0.689
ACF	-1.8634
LOC158381	-0.6145
CDH8	0.648
AGPS	-1.01525
C4orf18	3.03854545454546
PECI	0.792714285714286
UNG	-0.935909090909091
GSTP1	0.298636363636364
DCUN1D5	-1.217375
DKFZP564J0863	-0.8822
SLC9A3R1	-2.04363636363636
BCDO2	1.17454545454545
CHMP7	-0.7754
REM2	-0.264333333333333
DNHD1	0.0319
FKBP4	-1.86572727272727
ZNF350	1.0956
MGC11102	0.369181818181818
BST1	1.172
KISS1R	-0.695333333333333
NCR2	0.175333333333333
DEFB125	0.271333333333333
UBE2W	0.151727272727273
KRT15	-3.21618181818182
C10orf99	0.246666666666667
SCN11A	0.217181818181818
GFI1	-1.6528
RDHE2	-0.2635
FHL1	1.53325
OSGEP	-0.05525
GATA1	-3.101375
SMC6	-1.0068
TTTY14	0.0393333333333333
LPIN3	0.2676
RPL4	-1.95228571428571
RBPMS	-0.867
PRPF3	-0.532
EMR1	-0.112
SPATA19	0.8032
XCR1	0.381
IRX3	-2.215
RBM6	-0.7656
KLF4	-1.61038461538462
UNC5CL	-2.118
SEBOX	0.124666666666667
BTK	-0.0266
KRCC1	0.8984
C6orf27	0.553333333333333
SYTL5	-0.15
PRND	0.158272727272727
LOC653319	-0.880333333333333
PIGL	-0.270454545454545
HUS1	0.955875
SFRS6	-1.0935625
C17orf77	0.409666666666667
UIMC1	0.067625
FXYD2	-1.15746153846154
LOC283152	1.9206
ZNF667	0.5094
ZCCHC12	0.9672
TFEC	2.14376923076923
ATP7B	-1.622125
POLD2	-1.3005
RG9MTD1	-0.2126
ACOT2	-1.404875
HIST1H4I	-0.611545454545455
PPARGC1A	0.694
ETFA	-1.67921428571429
POLRMT	-0.2634
ZNF146	-1.14127272727273
MIA2	-0.401333333333333
KLHL6	-0.01325
HOXB5	-0.0803636363636364
NENF	1.15875
CUGBP1	0.8364
PRSS22	-0.488125
CASC4	1.67
CUL4B	0.496923076923077
CENPJ	-1.31735714285714
PITX1	-0.673625
FLJ31033	-0.00600000000000001
CELSR3	-1.2305
ZNF568	0.8262
ITSN1	-0.2858
EHBP1L1	-1.2125
C19orf2	-1.0002
DCTN1	-0.8388
LIN28B	-2.36875
TNKS2	-0.7824
C1QBP	-0.7587
CADPS2	1.0506
SRMS	-0.2202
GJA9	0.1375
MGC24975	-0.04875
TRIM45	-0.75225
TSP50	-0.0462
TCP1	-2.0276
TMED7	0.43
CMA1	0.175333333333333
CENPL	-0.96625
PTCRA	1.032
FST	-4.1126
VWCE	-1.4402
PAWR	-1.293
ABCC12	-0.166125
LDLR	-1.72676923076923
ASTN2	2.5835
LOC441212	0.718909090909091
GPATCH8	-0.0828333333333333
TANC2	-0.29475
KIF4A	-0.798
C18orf18	-0.284
PGM1	-0.981
KIAA0258	-0.5942
CPD	-0.3868
SNCAIP	0.8132
DCT	-3.62788888888889
HLA-DOA	1.67461290322581
OR11L1	0.640666666666667
UPK1B	-0.068875
DNAJB4	-0.21
UGT1A8	-0.2918
HIST1H4L	0.705666666666667
PECR	-0.798125
HSPA2	1.0786
WFIKKN1	-0.825666666666667
SERP1	-1.3555
SYDE2	-0.586333333333333
TACR2	0.125
NUP85	-0.5528
CD177	-0.122444444444444
LGR5	-1.115125
PIGG	0.53875
PTHR1	-0.107875
RAB5A	0.221769230769231
FLJ13224	0.045
USP9Y	-1.26471428571429
C7orf53	0.215666666666667
LRP1B	3.739
XAF1	1.44733333333333
ABCG8	-0.232
ANKDD1A	0.154625
DAND5	-0.441333333333333
SPAG6	0.294
LINCR	0.1082
ZDHHC22	0.2335
CCDC60	0.162
THOC7	-1.426625
TCTA	0.876384615384615
