Hybridization REF	TCGA-16-1056-01B-01R-0524-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.5164375
CREB3L1	-0.297833333333333
RPS11	-0.2111
PNMA1	2.05
MMP2	-0.2755
C10orf90	-1.0248
ZHX3	1.3865
ERCC5	0.38
GPR98	1.879
RXFP3	0.0893333333333333
APBB2	2.405
PRO0478	0.797090909090909
KLHL13	0.9714
PRSSL1	-1.051875
PDCL3	-0.32375
DECR1	0.708
SALL1	2.97275
CADM4	1.85375
RPS18	-0.707947368421053
HNRPD	0.157866666666667
CFHR5	1.125375
SLC10A7	0.636909090909091
OR2K2	0.555333333333333
LMAN1	-1.806
SUHW1	-3.964
CHD8	0.241692307692308
SUMO1	-0.630846153846154
GP1BA	0.476384615384616
DDB1	0.023625
MYO9B	0.6115
MMP7	3.5178
CRNKL1	0.4385
C9orf45	-1.047
XAB2	-0.5381
RTN1	2.3224
KLHL14	0.00340000000000002
TBX10	-1.433
CENPQ	-0.0616
UTY	2.23031578947368
ZBTB12	-0.323
DTNBP1	0.1687
KBTBD8	1.172875
ZEB1	3.518125
ZG16	-2.202
MIER1	0.213615384615385
ADAM5P	0.00499999999999999
CHD9	1.43171428571429
STK16	-0.6804
KIAA1486	-0.0713333333333333
TOB2	-0.01425
BANK1	3.4628
OR2V2	0.1614
GRM2	-0.152875
PROSC	-0.4546
SPIN2B	0.2384
PIR	-2.71090909090909
IPO9	0.447285714285714
EVC	0.22075
CXCL13	1.122
KIAA1199	-0.497461538461539
SORL1	4.0246
NAT10	-0.8322
CHD1	0.1382
SYN3	-0.2206
SLC22A2	-0.6458
SERPINF1	-2.118375
WDR34	-1.3124
OR7A17	0.215
C9orf11	0.666666666666667
RNF216L	1.22166666666667
LHB	-0.269333333333333
STK25	-1.192
TAOK3	1.7512
LOC152573	4.1044
C3orf39	0.9399
C14orf108	0.951538461538461
CDC25B	-0.769071428571429
BMP3	-0.544666666666667
TMEM180	-0.123666666666667
MAP1LC3C	1.2454
CRYGC	-1.312
POU3F1	0.335692307692308
C20orf32	-0.956333333333333
CCDC95	-0.3505
HIGD1B	5.3006
USP6NL	0.1534
ABCD4	1.451125
DIMT1L	0.258125
TEK	0.786363636363636
SLC25A46	0.1426
LARP7	-0.764285714285714
CD160	0.3895
MT1JP	2.01742857142857
PHF20	-0.446238095238095
CPNE4	5.0938
GTPBP1	-0.946315789473684
RAB33B	1.558375
ALDOC	0.535
ZNF212	-0.1016
NUDT1	-0.1005
RFPL2	-0.742166666666667
ZNF83	0.94
GDPD5	-1.561
PDCD4	-0.745538461538462
CEP350	1.2386
OR10A2	0.3376
CST7	-0.2174
CIAO1	-1.1198
SELL	0.972272727272728
OR8J3	0.0233333333333333
LTBP4	-1.035125
SIRT6	-0.5152
CCL19	0.8938
PPIL1	0.194375
GBP7	0.328125
STK17A	1.10869230769231
ABR	0.5208
OR9G1	-0.157
FOXE1	-1.1209
CNGA3	3.454
GML	-0.173666666666667
CD38	0.0408
ZDHHC6	-0.03725
NEFH	-2.606
CTDSP2	1.5353125
PGBD5	-0.806111111111111
CCNY	-0.496
RMND5B	-0.811125
ZNF257	-2.0122
FLJ22167	0.9624
EXOSC7	-1.631375
ROR2	-1.1449
MAOA	1.62990909090909
TNNT3	1.1905
GYPC	-1.69083333333333
C7orf33	1.37133333333333
PLIN	0.1935
LOC90826	1.0096
RNF4	0.864
F8A1	-0.512125
PLEKHG4	-4.358
GRB2	-0.394222222222222
HIST1H2AD	-2.2566
DUS3L	-0.708625
EIF1	0.1055
RP5-1077B9.4	0.0396666666666667
FPGT	2.0452
GDF10	-0.45675
COQ9	0.1062
GCC2	0.517555555555556
RARRES3	1.49527272727273
PLXNA1	0.213285714285714
KIAA0100	0.0324285714285714
PMF1	-0.7148
FNDC1	4.2582
HS2ST1	0.282875
CRELD2	-0.4882
C8G	-2.24366666666667
CD82	0.4574
LIM2	-1.041
UNQ6490	-0.299
MMP16	0.736666666666667
DRD3	-0.158833333333333
C5orf26	-0.3886
C11orf73	0.0927
PTP4A2	-0.015
OR4M2	0.631333333333333
HPCA	-2.248625
SEC14L1	1.329625
CHFR	0.224090909090909
EMILIN1	0.3605
NDUFS4	1.1666
COL18A1	-1.1053
PDZD3	0.329
C9orf16	-0.719375
ERBB2IP	1.97242857142857
EMX2	5.2792
FUS	-1.6602
TF	-3.97338461538462
CLCN4	1.594125
