Hybridization REF	TCGA-12-1089-01A-01R-0524-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.2725
CREB3L1	0.3995
RPS11	-0.4336
PNMA1	1.8456
MMP2	-1.631375
C10orf90	-0.2792
ZHX3	1.96125
ERCC5	0.2428
GPR98	1.98875
RXFP3	0.361
APBB2	0.3904
PRO0478	0.618545454545455
KLHL13	0.4452
PRSSL1	-1.527875
PDCL3	-0.61175
DECR1	0.6083
SALL1	2.489375
CADM4	2.3305
RPS18	-1.14847368421053
HNRPD	-0.285266666666667
CFHR5	1.07614285714286
SLC10A7	0.669818181818182
OR2K2	0.174666666666667
LMAN1	-2.51009090909091
SUHW1	-2.5056
CHD8	-0.981076923076923
SUMO1	-0.143846153846154
GP1BA	0.000999999999999994
DDB1	0.176875
MYO9B	0.414357142857143
MMP7	1.3012
CRNKL1	-0.1834
C9orf45	-0.213625
XAB2	-0.5047
RTN1	3.2817
KLHL14	-0.6699
TBX10	-1.17933333333333
CENPQ	-0.7202
UTY	1.99942105263158
ZBTB12	-0.00866666666666666
DTNBP1	0.0529
KBTBD8	0.535625
ZEB1	3.600875
ZG16	-2.3378
MIER1	-0.0693076923076923
ADAM5P	-0.00633333333333333
CHD9	1.16633333333333
STK16	0.0268
KIAA1486	0.387666666666667
TOB2	1.7043125
BANK1	0.6798
OR2V2	0.2008
GRM2	-0.176875
PROSC	-0.3205
SPIN2B	0.4166
PIR	-0.897090909090909
IPO9	0.348857142857143
EVC	-0.141125
CXCL13	0.593875
KIAA1199	0.0216923076923077
SORL1	3.1598
NAT10	-0.6344
CHD1	-0.4716
SYN3	0.3828
SLC22A2	-0.8086
SERPINF1	-1.294
WDR34	-0.1816
OR7A17	-0.0502
C9orf11	0.550666666666667
RNF216L	0.955916666666667
LHB	0.0903333333333333
STK25	-0.5718
TAOK3	1.4894
LOC152573	-3.056
C3orf39	1.5045
C14orf108	-0.707
CDC25B	-1.34164285714286
BMP3	0.428333333333333
TMEM180	0.118666666666667
MAP1LC3C	1.9596
CRYGC	-0.9395
POU3F1	0.453846153846154
C20orf32	-0.795333333333333
CCDC95	-0.0745
HIGD1B	5.5642
USP6NL	0.6266
ABCD4	0.55475
DIMT1L	0.0559374999999999
TEK	0.941727272727273
SLC25A46	-0.1168
LARP7	-0.676714285714285
CD160	-0.28175
MT1JP	3.48528571428571
PHF20	-0.354476190476191
CPNE4	4.365
GTPBP1	-0.197947368421053
RAB33B	0.841
ALDOC	0.514363636363636
ZNF212	0.3762
NUDT1	-0.38625
RFPL2	0.753166666666667
ZNF83	0.475875
GDPD5	-1.8357
PDCD4	0.553461538461538
CEP350	0.3442
OR10A2	0.4614
CST7	-1.6782
CIAO1	-1.5988
SELL	0.546636363636364
OR8J3	-0.307
LTBP4	-0.94025
SIRT6	-0.5546
CCL19	0.658
PPIL1	-0.247125
GBP7	1.43025
STK17A	0.192461538461539
ABR	1.7012
OR9G1	-0.4185
FOXE1	-1.3337
CNGA3	4.40733333333333
GML	0.0653333333333333
CD38	0.5306
ZDHHC6	-0.78425
NEFH	-0.5942
CTDSP2	2.189625
PGBD5	0.723444444444444
CCNY	0.393555555555556
RMND5B	-0.717
ZNF257	-3.7756
FLJ22167	2.2223
EXOSC7	-1.74275
ROR2	0.4846
MAOA	2.32954545454546
TNNT3	-0.691875
GYPC	-1.8115
C7orf33	0.0976666666666667
PLIN	2.1505
LOC90826	0.4706
RNF4	0.137076923076923
F8A1	-0.098875
PLEKHG4	-3.5332
GRB2	-0.410555555555555
HIST1H2AD	-0.4104
DUS3L	-1.230125
EIF1	-0.141125
RP5-1077B9.4	-0.995111111111111
FPGT	1.7352
GDF10	2.638375
COQ9	0.277
GCC2	0.476333333333333
RARRES3	2.79090909090909
