Hybridization REF	TCGA-12-1098-01C-01R-0524-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.185625
CREB3L1	0.905
RPS11	0.7666
PNMA1	2.1704
MMP2	-0.371
C10orf90	1.95
ZHX3	2.005125
ERCC5	0.367
GPR98	0.82475
RXFP3	0.530333333333333
APBB2	1.232
PRO0478	-0.846818181818182
KLHL13	0.4514
PRSSL1	-0.479625
PDCL3	-1.157875
DECR1	-0.7098
SALL1	2.87525
CADM4	1.859625
RPS18	-0.0763684210526315
HNRPD	-1.14093333333333
CFHR5	0.182
SLC10A7	-0.0342727272727273
OR2K2	-0.3835
LMAN1	-2.39627272727273
SUHW1	-2.9728
CHD8	-1.255
SUMO1	0.463
GP1BA	0.359076923076923
DDB1	-0.317875
MYO9B	0.0550714285714286
MMP7	3.612
CRNKL1	-0.1604
C9orf45	-0.828125
XAB2	0.3755
RTN1	4.8061
KLHL14	-0.5079
TBX10	-0.422333333333333
CENPQ	-1.7726
UTY	-0.95678947368421
ZBTB12	0.236333333333333
DTNBP1	0.0299
KBTBD8	-0.00912500000000001
ZEB1	0.36875
ZG16	-1.3678
MIER1	-0.561461538461538
ADAM5P	0.696
CHD9	0.1919
STK16	0.459
KIAA1486	0.207
TOB2	0.1223125
BANK1	-0.5354
OR2V2	0.6222
GRM2	0.11725
PROSC	-1.0442
SPIN2B	0.6972
PIR	-1.42954545454545
IPO9	0.271571428571429
EVC	0.235375
CXCL13	0.76175
KIAA1199	-0.902615384615384
SORL1	1.438
NAT10	-0.2192
CHD1	-0.3294
SYN3	-0.3566
SLC22A2	-0.579
SERPINF1	-0.861625
WDR34	-0.1216
OR7A17	0.4792
C9orf11	-0.173666666666667
RNF216L	0.67725
LHB	1.064
STK25	0.0611
TAOK3	1.965
LOC152573	-2.7976
C3orf39	0.5888
C14orf108	-0.871615384615385
CDC25B	-0.9305
BMP3	0.337666666666667
TMEM180	1.57233333333333
MAP1LC3C	1.9604
CRYGC	-0.303333333333333
POU3F1	-0.406846153846154
C20orf32	-0.705666666666667
CCDC95	0.5835
HIGD1B	5.0966
USP6NL	-0.0322
ABCD4	1.6865
DIMT1L	0.23425
TEK	0.188545454545455
SLC25A46	0.2786
LARP7	-1.53207142857143
CD160	0.98
MT1JP	2.28442857142857
PHF20	-1.12728571428571
CPNE4	2.2898
GTPBP1	0.154421052631579
RAB33B	1.93525
ALDOC	1.16263636363636
ZNF212	0.175
NUDT1	-1.098125
RFPL2	-0.161666666666667
ZNF83	-0.805625
GDPD5	-1.1878
PDCD4	1.14492307692308
CEP350	-0.5102
OR10A2	0.33
CST7	-0.401
CIAO1	-1.3874
SELL	1.005
OR8J3	-0.427
LTBP4	-0.225
SIRT6	0.148
CCL19	0.804
PPIL1	-0.953
GBP7	0.224125
STK17A	1.48938461538462
ABR	1.5624
OR9G1	-0.225
FOXE1	-0.0268
CNGA3	3.07166666666667
GML	0.665
CD38	-2.6386
ZDHHC6	0.21125
NEFH	-2.7344
CTDSP2	1.42725
PGBD5	0.140777777777778
CCNY	0.622055555555556
RMND5B	0.5238125
ZNF257	-2.826
FLJ22167	1.0483
EXOSC7	-1.90325
ROR2	-0.4907
MAOA	1.44590909090909
TNNT3	0.0365
GYPC	-2.0735
C7orf33	-0.884333333333333
PLIN	0.9745
LOC90826	0.7604
RNF4	-0.404769230769231
F8A1	0.27925
PLEKHG4	-4.2442
GRB2	-0.423851851851852
HIST1H2AD	1.3096
DUS3L	-0.484125
EIF1	-0.617375
RP5-1077B9.4	-0.315888888888889
FPGT	1.128
GDF10	-1.09725
COQ9	1.4626
GCC2	-0.870555555555555
RARRES3	3.01809090909091
PLXNA1	-0.421571428571429
KIAA0100	-1.38064285714286
PMF1	1.0544
FNDC1	0.6626
HS2ST1	-0.045
CRELD2	-0.4762
C8G	-1.22166666666667
CD82	-0.198
LIM2	-0.345
UNQ6490	0.6
MMP16	1.66216666666667
DRD3	0.0378333333333334
C5orf26	0.4448
C11orf73	0.6492
PTP4A2	0.5482
OR4M2	-0.604
HPCA	-2.11825
SEC14L1	0.643625
CHFR	1.25090909090909
EMILIN1	-0.1771
NDUFS4	-0.013
COL18A1	-1.178
PDZD3	0.139307692307692
C9orf16	2.637
ERBB2IP	1.25242857142857
EMX2	6.892
FUS	-3.7518
TF	-2.08707692307692
CLCN4	1.991
CXorf56	-1.313
C11orf72	0.719
ELAC2	-1.23146666666667
NPR1	-1.3586
ASS1	-2.89788888888889
USP42	-0.2685
POLR2J	0.427333333333333
SEC23IP	-1.04575
UQCRC1	0.8406
LOC729603	-0.572
C1orf71	-1.4116
POLG	-2.326
ADAM23	-1.0525
TFR2	0.957
RICTOR	-0.778384615384615
MGC39606	0.7168
C19orf55	0.0778181818181818
SNAPC1	-1.2505
GNA11	0.147909090909091
CCDC52	-0.441375
FSIP1	1.99166666666667
UPF3A	0.1342
IGSF11	2.439
LAGE3	0.1522
CHST6	3.85566666666667
UNC13B	1.60472727272727
TTLL4	-1.38181818181818
ZNF687	0.8046
SDC2	-0.554214285714286
COX7A2	0.0838
LAMB4	0.7916
FAM24A	0.26
LRRTM3	2.384625
GPHB5	1.6146
OR4C13	0.696666666666667
EIF3EIP	1.37733333333333
HABP4	1.53666666666667
TMEM125	0.475
CNTN2	2.81536363636364
ASNSD1	0.3054
FUT4	-1.3937
ACF	-2.8078
LOC158381	0.045
CDH8	0.1445
AGPS	-1.369125
C4orf18	1.59336363636364
PECI	0.0845
UNG	0.432363636363636
GSTP1	0.0101818181818182
DCUN1D5	-0.76825
DKFZP564J0863	-1.1948
SLC9A3R1	-1.19636363636364
BCDO2	-0.304636363636364
CHMP7	-0.6541
REM2	-0.365
DNHD1	0.2047
FKBP4	-1.45263636363636
ZNF350	1.2534
MGC11102	0.364090909090909
BST1	0.5906
KISS1R	0.443666666666667
NCR2	0.572333333333333
DEFB125	0.441
UBE2W	-0.496454545454545
KRT15	-3.32554545454546
C10orf99	0.878333333333333
SCN11A	-0.421272727272727
GFI1	-2.5446
RDHE2	-0.43275
FHL1	2.26975
OSGEP	0.228875
GATA1	-2.875
SMC6	-1.643
TTTY14	-0.686333333333333
LPIN3	0.7904
RPL4	-0.981428571428571
RBPMS	-1.66092857142857
PRPF3	0.4895
EMR1	-1.9575
SPATA19	0.2068
XCR1	2.11966666666667
IRX3	-1.36076923076923
RBM6	-0.232
KLF4	-1.40661538461538
