Hybridization REF	TCGA-28-1756-01C-01R-0791-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.219875
CREB3L1	-0.930833333333334
RPS11	1.0657
PNMA1	2.8404
MMP2	-1.796625
C10orf90	0.665
ZHX3	0.608125
ERCC5	0.8788
GPR98	1.32358333333333
RXFP3	0.501666666666667
APBB2	1.302
PRO0478	0.490363636363636
KLHL13	1.7142
PRSSL1	-1.362
PDCL3	0.011
DECR1	0.3574
SALL1	1.9695
CADM4	1.768
RPS18	0.204105263157895
HNRPD	-0.442933333333333
CFHR5	0.3295
SLC10A7	0.307272727272727
OR2K2	0.349666666666667
LMAN1	-2.64336363636364
SUHW1	-3.205
CHD8	-0.385384615384615
SUMO1	0.620615384615385
GP1BA	0.238
DDB1	-0.69875
MYO9B	-0.0654285714285715
MMP7	2.849
CRNKL1	0.0212
C9orf45	0.052125
XAB2	-0.7831
RTN1	3.8679
KLHL14	-1.2237
TBX10	-1.666
CENPQ	-0.2516
UTY	1.64831578947368
ZBTB12	-0.305
DTNBP1	0.9929
KBTBD8	0.3145
ZEB1	3.280875
ZG16	-1.8624
MIER1	0.393692307692308
ADAM5P	0.00333333333333331
CHD9	1.05671428571429
STK16	-1.1318
KIAA1486	0.568
TOB2	0.6176875
BANK1	1.5762
OR2V2	0.0772
GRM2	0.137125
PROSC	-0.0687
SPIN2B	0.6646
PIR	-1.40772727272727
IPO9	0.152571428571429
EVC	-1.702125
CXCL13	0.53625
KIAA1199	-0.579461538461538
SORL1	1.8414
NAT10	-1.4496
CHD1	-0.9568
SYN3	1.6236
SLC22A2	-0.0454
SERPINF1	-2.21225
WDR34	-2.0712
OR7A17	0.1038
C9orf11	0.314
RNF216L	0.0656666666666667
LHB	-0.099
STK25	0.3217
TAOK3	2.0426
LOC152573	0.2652
C3orf39	1.5614
C14orf108	-0.339692307692308
CDC25B	-1.36478571428571
BMP3	0.062
TMEM180	-0.363666666666667
MAP1LC3C	-0.5062
CRYGC	-0.232333333333333
POU3F1	-0.262692307692308
C20orf32	-0.854333333333333
CCDC95	-0.4365
HIGD1B	5.7302
USP6NL	0.4559
ABCD4	1.04375
DIMT1L	0.219875
TEK	1.54545454545455
SLC25A46	-0.1068
LARP7	-0.597571428571429
CD160	0.659875
MT1JP	2.08914285714286
PHF20	0.0969047619047619
CPNE4	2.346
GTPBP1	-1.27689473684211
RAB33B	0.909375
ALDOC	1.79463636363636
ZNF212	0.1522
NUDT1	-0.828
RFPL2	2.3945
ZNF83	0.482125
GDPD5	-1.6562
PDCD4	1.04980769230769
CEP350	0.2138
OR10A2	0.4802
CST7	-1.1842
CIAO1	-1.2182
SELL	0.877727272727273
OR8J3	-0.0136666666666667
LTBP4	0.150125
SIRT6	-0.116
CCL19	3.9686
PPIL1	0.36175
GBP7	1.40225
STK17A	-0.0585384615384615
ABR	1.9296
OR9G1	0.1875
FOXE1	0.2147
CNGA3	2.695
GML	0.04
CD38	-0.558
ZDHHC6	-0.09225
NEFH	0.2752
CTDSP2	-0.35475
PGBD5	1.30833333333333
CCNY	0.445166666666667
RMND5B	-0.7154375
ZNF257	-2.5968
FLJ22167	0.5851
EXOSC7	-1.216
ROR2	-1.3592
MAOA	1.22654545454545
TNNT3	-0.099125
GYPC	-2.51633333333333
C7orf33	-0.291
PLIN	0.671875
LOC90826	0.3942
RNF4	0.172538461538462
F8A1	-0.701375
PLEKHG4	-3.3298
GRB2	0.142222222222222
HIST1H2AD	-1.0238
DUS3L	-0.721
EIF1	-0.0655
RP5-1077B9.4	-0.159555555555556
FPGT	0.6504
GDF10	1.1095
COQ9	-0.2862
GCC2	0.293777777777778
RARRES3	1.63054545454545
PLXNA1	0.0282857142857143
KIAA0100	-0.325642857142857
PMF1	-0.4308
FNDC1	1.6142
HS2ST1	0.6005
CRELD2	-0.6822
C8G	-1.75166666666667
CD82	-0.1018
LIM2	-1.128
UNQ6490	-0.107666666666667
MMP16	1.36416666666667
DRD3	-0.0125
C5orf26	0.865
C11orf73	0.7927
PTP4A2	0.3059
OR4M2	0.4
HPCA	-1.36725
SEC14L1	-0.40675
CHFR	0.643090909090909
EMILIN1	-0.4235
NDUFS4	0.6628
COL18A1	-1.635
PDZD3	0.0696153846153846
C9orf16	-0.173875
ERBB2IP	1.29585714285714
EMX2	6.0486
FUS	-2.8316
TF	-0.968615384615385
CLCN4	1.811
CXorf56	0.014
C11orf72	0.0131666666666667
ELAC2	-1.34166666666667
NPR1	-2.1526
ASS1	-3.16833333333333
USP42	0.4041
POLR2J	0.056
SEC23IP	-0.02325
UQCRC1	-1.2552
LOC729603	-0.6496
C1orf71	-0.4199
POLG	-2.637
ADAM23	-0.739666666666667
TFR2	-1.5892
RICTOR	1.23669230769231
MGC39606	3.0718
C19orf55	-0.332272727272727
SNAPC1	-0.626125
GNA11	0.648181818181818
CCDC52	-0.536875
FSIP1	0.0386666666666667
UPF3A	0.7195
IGSF11	1.313375
LAGE3	0.007
CHST6	1.66033333333333
UNC13B	-0.390363636363636
TTLL4	-1.56636363636364
ZNF687	-0.2982
SDC2	-1.54164285714286
COX7A2	1.3156
LAMB4	0.6874
FAM24A	-0.132
LRRTM3	3.193875
GPHB5	0.0336
OR4C13	-0.466666666666667
EIF3EIP	0.313722222222222
HABP4	1.41333333333333
TMEM125	2.4594
CNTN2	3.62163636363636
ASNSD1	0.6934
FUT4	-0.9444
ACF	-3.93
LOC158381	-0.5365
CDH8	2.6644
AGPS	-1.1905
C4orf18	1.16845454545455
PECI	0.139571428571429
UNG	-1.10218181818182
GSTP1	-1.77054545454545
DCUN1D5	-1.162375
DKFZP564J0863	-2.0824
SLC9A3R1	-1.05936363636364
BCDO2	1.27318181818182
CHMP7	-0.7169
REM2	-0.0603333333333333
DNHD1	-0.3148
FKBP4	-1.76527272727273
ZNF350	1.7722
MGC11102	-0.285
BST1	-0.1062
KISS1R	1.027
NCR2	0.0486666666666667
DEFB125	-0.413333333333333
UBE2W	0.657909090909091
KRT15	-3.95281818181818
C10orf99	-0.072
SCN11A	1.91254545454545
GFI1	-3.0492
RDHE2	0.888125
FHL1	1.895375
OSGEP	0.64775
GATA1	-3.83825
SMC6	-1.716
TTTY14	0.8925
LPIN3	-0.2462
RPL4	-1.74835714285714
RBPMS	-2.35742857142857
PRPF3	-0.134375
EMR1	-1.3515
SPATA19	0.127
XCR1	-0.066
IRX3	-0.484076923076923
RBM6	0.592
KLF4	-0.103615384615385
UNC5CL	1.3512
SEBOX	0.055
BTK	-0.81
KRCC1	1.2344
C6orf27	0.546
SYTL5	-0.965333333333333
PRND	0.211
LOC653319	0.600666666666667
PIGL	-0.924363636363636
HUS1	-0.98
SFRS6	-0.305125
C17orf77	0.207
UIMC1	-0.055625
FXYD2	-1.19946153846154
LOC283152	-0.0464
ZNF667	1.843
ZCCHC12	2.5498
TFEC	2.22238461538462
ATP7B	-0.2635
POLD2	-1.80525
RG9MTD1	0.4292
ACOT2	-1.1225
HIST1H4I	-0.991818181818182
PPARGC1A	0.270230769230769
ETFA	-1.34357142857143
POLRMT	-0.5164
ZNF146	-0.268636363636364
MIA2	-1.00333333333333
KLHL6	-0.577375
HOXB5	-2.24681818181818
NENF	0.78775
CUGBP1	0.4158
PRSS22	-1.37175
CASC4	0.961384615384615
CUL4B	0.229076923076923
CENPJ	-1.00521428571429
PITX1	-2.54875
FLJ31033	-0.0832857142857143
CELSR3	0.523875
ZNF568	1.1262
ITSN1	0.3284
EHBP1L1	-2.103625
C19orf2	-0.5622
DCTN1	-0.5818
LIN28B	-2.5885
TNKS2	0.2694
C1QBP	-0.9919
CADPS2	-0.8612
SRMS	0.103
GJA9	0.179
MGC24975	-0.281875
TRIM45	-0.511375
TSP50	-0.2098
TCP1	-0.897
TMED7	-0.165916666666667
CMA1	0.0726666666666667
CENPL	-1.72075
PTCRA	-0.467333333333333
FST	-5.0442
VWCE	-0.1644
PAWR	-3.2074
ABCC12	1.2905
LDLR	-3.50476923076923
ASTN2	1.25771428571429
LOC441212	0.496636363636364
GPATCH8	-0.0561666666666667
TANC2	0.2505625
KIF4A	-2.83
C18orf18	1.1564
PGM1	-0.6158
KIAA0258	-1.1332
CPD	-0.6796
SNCAIP	1.7042
DCT	-4.27411111111111
HLA-DOA	2.42058064516129
OR11L1	0.469666666666667
UPK1B	0.0308750000000001
DNAJB4	0.8135
UGT1A8	-0.2338
HIST1H4L	0.611
PECR	-1.1735
HSPA2	2.915
WFIKKN1	-0.0293333333333333
SERP1	-0.3325
SYDE2	-0.819
TACR2	0.264333333333333
NUP85	-0.8158
CD177	-0.588333333333333
LGR5	-0.10375
PIGG	-0.32175
PTHR1	-0.241875
RAB5A	0.805076923076923
FLJ13224	0.160666666666667
USP9Y	1.048375
C7orf53	1.26566666666667
LRP1B	4.7092
XAF1	1.92906666666667
ABCG8	-0.378666666666667
ANKDD1A	0.274375
DAND5	-0.378333333333333
SPAG6	0.58875
LINCR	0.5828
ZDHHC22	3.0524
CCDC60	0.0536666666666667
THOC7	-1.55925
TCTA	-0.292846153846154
OR8K3	0.3416
NY-REN-7	1.8972
B2M	1.065125
C6orf141	-2.9322
LPPR4	6.49833333333333
SQLE	-1.86881818181818
SEPHS1	-0.324
BTBD14B	0.68
PLRG1	-0.5774
SPG7	-0.0792857142857144
ZNF614	0.308333333333333
PARD6G	1.949375
INPP5B	-0.791384615384615
GRPEL2	-1.5189
PPID	-0.696384615384615
TRIM56	-1.3894
UBE2J1	-0.484454545454545
IL20RA	0.6304
LOC387856	1.4832
C1orf107	-0.523625
UTS2R	1.7984
C19orf22	-0.4704
SAFB2	0.1517
KIAA0652	-0.1342
KLRG1	1.15475
MS4A8B	0.9855
FRAG1	-0.9134
KIAA1546	1.1694
E2F4	-1.52792307692308
CLEC4M	0.315
BTBD14A	0.279
KIAA0999	1.63569230769231
GYPA	-3.21775
TAC1	4.17185714285714
TRAIP	-1.687875
KIAA0232	1.182
ERCC8	-0.4445
GPX4	0.200909090909091
KIAA0368	0.581
GPR157	-1.679875
CTAGE4	-1.9875
C9orf30	-0.29025
OR52A1	0.113666666666667
HSP90B3P	-1.847
ALG9	-0.545692307692308
BTBD10	1.1848
SDK2	-0.181
BAIAP3	1.49
RABGGTB	-0.1893
ANKRD40	-0.472875
KRT74	0.410333333333333
CALCOCO2	-0.315166666666667
SNCA	0.3112
TMSL8	0.212727272727273
C2orf53	-0.00499999999999999
ESRRB	-0.4724
ARHGAP26	-0.409
TDRD9	-0.7742
HRAS	-1.113875
KLRC4	1.791
JAGN1	-0.726
BSDC1	1.3496
RNF43	-1.91207692307692
NDUFAF1	0.2384
PHF12	-0.152333333333333
OR1L3	0.1934
FOLR2	2.88666666666667
LYZL6	0.097875
tcag7.1260	-1.04966666666667
WSB1	1.73875
PROS1	0.435153846153846
OSTN	0.483
PSMB8	-0.6892
SOCS4	-0.21
DDIT4L	0.45
MAS1	0.0613333333333334
MGC34796	-1.226
CSHL1	-0.04075
TBCCD1	-0.833125
ZBTB7C	-0.310333333333333
AP2S1	-1.17072727272727
P15RS	0.774384615384615
VAT1	-0.766538461538462
SHANK3	1.806625
TUFM	-0.573625
THEG	-0.3274
KRT34	-1.884
SGSM3	-1.1836
TOMM22	-0.3746
SOCS3	-0.112875
CPO	1.374
POP4	0.199
BHLHB3	2.3622
MALL	-0.8635
OR1B1	0.242333333333333
PARK2	0.874666666666667
GPR124	-0.8508
LCE1E	0.0293333333333334
RUVBL2	-1.0706
CGRRF1	2.00969230769231
ACPL2	1.605
WNT10B	0.811
BAIAP2L2	-1.10154545454545
ISCA1	1.0225
C1orf125	1.201
RPAP1	-0.8842
RAI16	0.034875
RPL27	0.850727272727273
NLRP9	-0.325333333333333
EPN1	-0.704333333333333
LOC388610	-0.787
SLC35A1	0.805615384615385
GAL	-4.666
SLC14A2	0.118333333333333
RDH11	0.550125
FAM138F	-0.837
AUH	0.3706
FLJ40243	-0.4332
C14orf129	0.251625
MBD2	-0.953375
ABHD14B	-1.626
PIGT	-0.700727272727273
ALS2CR4	0.359181818181818
ALAS1	-0.832692307692308
FOXO1	1.485625
CRLF3	-1.23381818181818
C20orf107	0.0245
FARS2	-0.699
CCDC28A	1.02
NPHP3	0.5288
OR13F1	0.249333333333333
TSEN54	-0.7332
DEFB106B	-0.129538461538462
OR8B4	0.608
STH	3.3248
ZC3H14	-1.0893
CBX2	-0.202
TMEM49	-1.6592
C6orf21	-0.137333333333333
FLJ20920	-1.83527272727273
CRTAP	-0.702842105263158
DDX50	0.1128
STYXL1	-1.241
BLVRB	-1.49025
LOC147650	0.581125
MMP24	0.214333333333333
GRID1	3.974625
BANF1	-0.837875
CTAGEP	-1.1952
HMBS	-1.4286
