Hybridization REF	TCGA-76-4928-01B-01R-1484-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.1295
CREB3L1	-0.716833333333333
RPS11	0.1188
PNMA1	1.1826
MMP2	-1.46875
C10orf90	1.1416
ZHX3	1.79775
ERCC5	-0.0084
GPR98	0.5285
RXFP3	0.959
APBB2	0.0456
PRO0478	-0.518272727272727
KLHL13	-0.376
PRSSL1	-0.9305
PDCL3	0.136875
DECR1	0.978
SALL1	2.827375
CADM4	3.332625
RPS18	-0.0875263157894737
HNRPD	-0.723933333333333
CFHR5	0.619
SLC10A7	-0.201545454545455
OR2K2	1.4255
LMAN1	-1.49727272727273
SUHW1	-3.7762
CHD8	-0.792692307692308
SUMO1	0.306153846153846
GP1BA	0.527230769230769
DDB1	-0.81775
MYO9B	1.22857142857143
MMP7	3.344
CRNKL1	0.099
C9orf45	-1.417625
XAB2	-0.5536
RTN1	4.583
KLHL14	-1.41255555555556
TBX10	-1.38833333333333
CENPQ	-0.797
UTY	-1.861625
ZBTB12	-0.547
DTNBP1	-0.3638
KBTBD8	0.035125
ZEB1	2.025125
ZG16	-2.18825
MIER1	-0.128846153846154
ADAM5P	0.608
CHD9	0.437952380952381
STK16	0.1452
KIAA1486	1.33266666666667
TOB2	0.51575
BANK1	3.3562
OR2V2	1.189
GRM2	-0.0493333333333333
PROSC	0.9543
SPIN2B	0.0598
PIR	-1.78618181818182
IPO9	0.501615384615385
EVC	0.334625
CXCL13	0.8205
KIAA1199	1.23638461538462
SORL1	1.9586
NAT10	-0.1596
CHD1	-0.7638
SYN3	0.2408
SLC22A2	-0.7296
SERPINF1	-1.078875
WDR34	-0.9082
OR7A17	0.9908
C9orf11	0.484
RNF216L	0.97575
LHB	0.144333333333333
STK25	0.0786
TAOK3	1.2307
LOC152573	-3.189
C3orf39	0.8168
C14orf108	-0.411076923076923
CDC25B	-0.779428571428571
BMP3	-2.662
TMEM180	0.158
MAP1LC3C	1.2198
CRYGC	-1.61633333333333
POU3F1	0.298230769230769
C20orf32	-0.968666666666667
CCDC95	-0.0705
HIGD1B	5.9438
USP6NL	-0.586
ABCD4	0.8725
DIMT1L	-0.3625625
TEK	1.18318181818182
SLC25A46	-0.5844
LARP7	-1.42007142857143
CD160	-0.164142857142857
MT1JP	3.64328571428571
PHF20	-0.757285714285714
CPNE4	3.366
GTPBP1	-0.728578947368421
RAB33B	-0.534666666666667
ALDOC	-0.877636363636364
ZNF212	-0.5012
NUDT1	-0.658875
RFPL2	-0.555666666666667
ZNF83	0.053
GDPD5	-0.5141
PDCD4	-0.842153846153846
CEP350	-0.334
OR10A2	0.7384
CST7	-0.3734
CIAO1	-0.026
SELL	0.7247
OR8J3	0.841333333333333
LTBP4	-0.5165
SIRT6	0.0582
CCL19	0.5568
PPIL1	-0.1915
GBP7	-0.826714285714286
STK17A	1.55284615384615
ABR	1.1078
OR9G1	-1.075
FOXE1	-0.4456
CNGA3	4.318
GML	0.321666666666667
CD38	-2.7394
ZDHHC6	-0.35125
NEFH	-4.017
CTDSP2	0.9110625
PGBD5	1.77444444444444
CCNY	0.422166666666667
RMND5B	-0.515125
ZNF257	-1.905
FLJ22167	0.9056
EXOSC7	-1.0625
ROR2	-0.9764
MAOA	0.307636363636364
TNNT3	0.0144285714285714
GYPC	-1.00466666666667
C7orf33	-0.295
PLIN	0.566
LOC90826	-0.1056
RNF4	-1.06446153846154
F8A1	0.36275
