Hybridization REF	TCGA-14-1450-01B-01R-1847-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.029125
CREB3L1	-0.535
RPS11	0.4405
PNMA1	2.0188
MMP2	-1.66375
C10orf90	0.7508
ZHX3	1.3005
ERCC5	-0.0114
GPR98	0.8013
RXFP3	0.735333333333333
APBB2	1.1618
PRO0478	0.0366363636363636
KLHL13	-0.2002
PRSSL1	-0.790375
PDCL3	-0.118375
DECR1	0.1567
SALL1	2.003875
CADM4	2.71675
RPS18	-0.347789473684211
HNRPD	-0.885933333333333
CFHR5	0.638142857142857
SLC10A7	0.260454545454545
OR2K2	0.953666666666667
LMAN1	-1.90545454545455
SUHW1	-3.6296
CHD8	-0.274692307692308
SUMO1	0.0363846153846154
GP1BA	0.642769230769231
DDB1	-0.5185
MYO9B	0.763642857142857
MMP7	7.5344
CRNKL1	0.2015
C9orf45	-1.535625
XAB2	-0.3328
RTN1	2.6666
KLHL14	-1.8334
TBX10	-1.68066666666667
CENPQ	-0.5684
UTY	-1.38873684210526
ZBTB12	0.037
DTNBP1	-0.1431
KBTBD8	0.94825
ZEB1	1.8515
ZG16	-1.9972
MIER1	-0.149
ADAM5P	0.136
CHD9	0.543428571428571
STK16	-0.6184
KIAA1486	0.224
TOB2	-0.0579375
BANK1	4.6868
OR2V2	-0.2544
GRM2	0.086125
PROSC	0.0127
SPIN2B	0.4132
PIR	-2.17727272727273
IPO9	-0.0337142857142857
EVC	0.74675
CXCL13	5.467
KIAA1199	0.595538461538461
SORL1	2.5798
NAT10	-0.635
CHD1	-0.9918
SYN3	-0.4224
SLC22A2	-0.4284
SERPINF1	-1.165
WDR34	-1.4734
OR7A17	0.1838
C9orf11	-0.793666666666667
RNF216L	1.25775
LHB	0.419
STK25	-0.1236
TAOK3	1.7667
LOC152573	-2.132
C3orf39	1.0773
C14orf108	0.105923076923077
CDC25B	-0.892928571428571
BMP3	1.16066666666667
TMEM180	0.216666666666667
MAP1LC3C	1.4414
CRYGC	-1.523
POU3F1	0.0217692307692308
C20orf32	-1.198
CCDC95	-0.3235
HIGD1B	5.9024
USP6NL	-0.159
ABCD4	1.44575
DIMT1L	-0.169625
TEK	0.850363636363636
SLC25A46	-0.1532
LARP7	-0.945071428571429
CD160	0.4145
MT1JP	2.90214285714286
PHF20	-0.528095238095238
CPNE4	4.2602
GTPBP1	-0.815789473684211
RAB33B	0.9145
ALDOC	2.107
ZNF212	0.3206
NUDT1	-0.33075
RFPL2	-1.6198
ZNF83	0.771125
GDPD5	-1.3386
PDCD4	-0.176230769230769
CEP350	0.5454
OR10A2	0.1158
CST7	-0.4546
CIAO1	-1.1424
SELL	0.374090909090909
OR8J3	0.011
LTBP4	-0.569125
SIRT6	0.214
CCL19	1.9116
PPIL1	0.207625
GBP7	-0.16125
STK17A	0.967230769230769
ABR	1.0612
OR9G1	0.3585
FOXE1	-0.7916
CNGA3	3.99966666666667
GML	-0.039
CD38	-1.5338
ZDHHC6	-0.073875
NEFH	-2.581
CTDSP2	2.14375
PGBD5	0.00111111111111111
CCNY	-0.0573333333333333
RMND5B	-0.48225
ZNF257	-1.5224
FLJ22167	1.2369
EXOSC7	-1.4835
ROR2	-0.8104
MAOA	1.75063636363636
TNNT3	0.00137499999999999
GYPC	-2.08216666666667
C7orf33	-0.0576666666666667
PLIN	0.435875
LOC90826	0.1268
RNF4	0.248846153846154
F8A1	-0.85975
PLEKHG4	-3.5962
GRB2	0.0167777777777778
HIST1H2AD	-0.6356
DUS3L	-0.331125
EIF1	0.048
RP5-1077B9.4	-1.07755555555556
FPGT	1.818
GDF10	-1.1785
COQ9	0.5148
GCC2	-0.551611111111111
RARRES3	2.68590909090909
PLXNA1	0.171142857142857
KIAA0100	-0.498285714285714
PMF1	0.0424
FNDC1	0.9128
HS2ST1	0.7135625
CRELD2	-0.1562
C8G	-1.33366666666667
CD82	1.0454
LIM2	-1.56566666666667
UNQ6490	0.393666666666667
MMP16	0.3525
DRD3	0.065
C5orf26	-0.596
C11orf73	0.0594
PTP4A2	0.5305
OR4M2	0.599333333333333
HPCA	-2.24975
SEC14L1	0.494
CHFR	0.118818181818182
EMILIN1	0.5446
NDUFS4	0.5676
COL18A1	-0.6529
PDZD3	0.704461538461539
C9orf16	-0.367375
ERBB2IP	1.41728571428571
EMX2	6.7628
FUS	-2.1576
TF	-2.12284615384615
CLCN4	1.77175
CXorf56	0.507
C11orf72	0.131666666666667
ELAC2	-0.834733333333333
NPR1	-1.3932
ASS1	-3.50055555555556
USP42	0.1315
POLR2J	0.25
SEC23IP	-0.2755
UQCRC1	-0.177
LOC729603	-0.7988
C1orf71	-0.9733
POLG	-2.356
ADAM23	-1.18216666666667
TFR2	-0.537
RICTOR	-0.281538461538462
MGC39606	1.769
C19orf55	-0.00754545454545454
SNAPC1	-0.48775
GNA11	0.936363636363636
CCDC52	-0.880625
FSIP1	0.662666666666667
UPF3A	0.3777
IGSF11	2.35425
LAGE3	0.1928
CHST6	2.43666666666667
UNC13B	0.242727272727273
TTLL4	-0.541818181818182
ZNF687	-0.4407
SDC2	0.258857142857143
COX7A2	0.2836
LAMB4	0.4208
FAM24A	0.376666666666667
LRRTM3	2.443375
GPHB5	-0.2418
OR4C13	0.123666666666667
EIF3EIP	-0.799444444444444
HABP4	0.576333333333333
TMEM125	0.8646
CNTN2	3.36481818181818
ASNSD1	0.3518
FUT4	-0.2714
ACF	-3.6498
LOC158381	0.7255
CDH8	-0.449
AGPS	-0.866625
C4orf18	3.03772727272727
PECI	1.4155
UNG	-0.256
GSTP1	-0.421818181818182
DCUN1D5	-1.3075
DKFZP564J0863	-1.7586
SLC9A3R1	-1.41336363636364
BCDO2	1.06327272727273
CHMP7	-1.0143
REM2	-0.037
DNHD1	0.1791
FKBP4	-2.03072727272727
ZNF350	1.4976
MGC11102	0.360818181818182
BST1	0.3106
KISS1R	0.324
NCR2	0.327
DEFB125	-0.262666666666667
UBE2W	0.0213636363636364
KRT15	-4.24845454545455
C10orf99	0.025
SCN11A	0.351454545454545
GFI1	-3.079
RDHE2	-1.7885
FHL1	1.567125
OSGEP	0.597625
GATA1	-4.126875
SMC6	-1.438
TTTY14	-1.05616666666667
LPIN3	-0.113
RPL4	-1.73121428571429
RBPMS	-0.52
PRPF3	-0.809
EMR1	-0.7315
SPATA19	0.7704
XCR1	0.12
IRX3	-2.01538461538462
RBM6	-0.1886
KLF4	-1.96492307692308
UNC5CL	-0.1946
SEBOX	0.495
BTK	0.3044
KRCC1	1.0912
C6orf27	1.04
SYTL5	-0.916
PRND	1.327
LOC653319	-0.619
PIGL	-1.34009090909091
HUS1	0.05325
SFRS6	-2.761875
C17orf77	0.0833333333333333
UIMC1	0.2275
FXYD2	-2.04915384615385
LOC283152	0.7502
ZNF667	2.2456
ZCCHC12	0.5828
TFEC	2.88253846153846
ATP7B	-1.052375
POLD2	-1.401375
RG9MTD1	-0.0744
ACOT2	0.548625
HIST1H4I	-0.704
PPARGC1A	2.18076923076923
ETFA	-1.2825
POLRMT	-0.194
ZNF146	-0.329545454545455
MIA2	-1.989
KLHL6	-0.486125
HOXB5	-2.34227272727273
NENF	0.569125
CUGBP1	-0.1452
PRSS22	-1.296375
CASC4	2.08307692307692
CUL4B	-0.03
CENPJ	-1.50378571428571
PITX1	-2.922625
FLJ31033	1.03685714285714
CELSR3	-1.420625
ZNF568	1.1768
ITSN1	-0.83
EHBP1L1	-1.930375
C19orf2	-0.6052
DCTN1	-0.973
LIN28B	-3.831125
TNKS2	0.3118
C1QBP	-0.5963
CADPS2	0.4916
SRMS	-0.1324
GJA9	-0.131625
MGC24975	-0.016
TRIM45	-0.12075
TSP50	0.722
TCP1	-1.4504
TMED7	1.024
CMA1	0.169666666666667
CENPL	-1.0415
PTCRA	1.892
FST	-3.262
VWCE	-0.9484
PAWR	-1.2524
ABCC12	0.25325
LDLR	-1.46769230769231
ASTN2	1.89114285714286
LOC441212	0.503909090909091
GPATCH8	-0.2915
TANC2	-0.4965
KIF4A	-1.5512
C18orf18	0.8096
PGM1	0.4716
KIAA0258	-0.052
CPD	0.6676
SNCAIP	1.967
DCT	-4.83444444444444
HLA-DOA	3.27725806451613
OR11L1	0.815333333333333
UPK1B	-0.889375
DNAJB4	0.2763
UGT1A8	-0.214
HIST1H4L	-2.14333333333333
PECR	-1.23475
HSPA2	2.6348
WFIKKN1	-1.53733333333333
SERP1	0.2278
SYDE2	-1.233
TACR2	0.0553333333333333
NUP85	-0.6354
CD177	-0.457666666666667
LGR5	-2.3155
PIGG	0.1133125
PTHR1	0.433125
RAB5A	1.15730769230769
FLJ13224	-0.163666666666667
USP9Y	-3.54685714285714
C7orf53	0.496
LRP1B	4.558
XAF1	3.29906666666667
ABCG8	-0.58
ANKDD1A	0.445375
DAND5	-0.157
SPAG6	0.618857142857143
LINCR	2.2964
ZDHHC22	0.4096
CCDC60	0.997
THOC7	-1.399875
TCTA	1.22069230769231
OR8K3	0.3482
NY-REN-7	-0.982
B2M	1.48475
C6orf141	-0.3768
LPPR4	6.88366666666667
SQLE	-2.73945454545455
SEPHS1	-1.9154
BTBD14B	0.665777777777778
PLRG1	0.2268
SPG7	-0.434
ZNF614	0.400888888888889
PARD6G	0.40175
INPP5B	-1.01407692307692
GRPEL2	0.2926
PPID	-0.949923076923077
TRIM56	0.2736
UBE2J1	-0.0733636363636364
IL20RA	3.8858
LOC387856	4.335
C1orf107	0.4539375
UTS2R	0.6132
C19orf22	-0.052
SAFB2	0.5487
KIAA0652	-0.3036
KLRG1	-0.349125
MS4A8B	-0.120571428571429
FRAG1	0.0912
KIAA1546	0.508
E2F4	-1.55884615384615
CLEC4M	0.0266666666666667
BTBD14A	0.6528
KIAA0999	0.362461538461538
GYPA	-4.003125
TAC1	-0.391230769230769
TRAIP	-1.368375
KIAA0232	0.910461538461538
ERCC8	-0.5691
GPX4	0.790636363636364
KIAA0368	0.2918
GPR157	-0.538625
CTAGE4	-1.997
C9orf30	-0.443125
OR52A1	0.001
HSP90B3P	-0.322
ALG9	-0.193461538461538
BTBD10	0.978
SDK2	-0.082
BAIAP3	-0.634
RABGGTB	-0.4693
ANKRD40	-0.378125
KRT74	1.29633333333333
CALCOCO2	0.296166666666667
SNCA	-1.789
TMSL8	-4.35254545454546
C2orf53	0.130333333333333
ESRRB	0.5468
ARHGAP26	0.8924
TDRD9	-0.2316
HRAS	-0.12175
KLRC4	-1.703
JAGN1	0.29475
BSDC1	0.7508
RNF43	-2.68246153846154
NDUFAF1	0.9696
PHF12	0.516666666666667
OR1L3	0.2544
FOLR2	2.09146666666667
LYZL6	0.110375
tcag7.1260	-0.322333333333333
WSB1	0.51625
PROS1	2.00369230769231
OSTN	0.901666666666667
PSMB8	0.8696
SOCS4	0.162454545454545
DDIT4L	6.3536
MAS1	-0.4125
MGC34796	-0.6648
CSHL1	-0.2795
TBCCD1	0.1035
ZBTB7C	1.14833333333333
AP2S1	0.196454545454545
P15RS	0.484153846153846
VAT1	-0.514538461538462
SHANK3	1.019375
TUFM	-0.34725
THEG	-1.4242
KRT34	-0.2664
SGSM3	-1.1453
TOMM22	-0.728
SOCS3	1.70875
CPO	1.22
POP4	0.6322
BHLHB3	3.6238
MALL	-0.282666666666667
OR1B1	0.024
PARK2	0.654
GPR124	-0.1236
LCE1E	0.0913333333333333
RUVBL2	-0.8036
CGRRF1	1.27184615384615
ACPL2	1.965
WNT10B	-2.66890909090909
BAIAP2L2	-1.80154545454545
ISCA1	1.3835
C1orf125	0.217909090909091
RPAP1	-0.5332
RAI16	-0.270125
RPL27	-0.359909090909091
NLRP9	-0.231333333333333
EPN1	-0.079
LOC388610	-1.9172
SLC35A1	0.775769230769231
GAL	-1.061
SLC14A2	0.211
RDH11	0.763375
FAM138F	0.0363333333333333
AUH	-0.1572
FLJ40243	0.127
C14orf129	-0.145875
MBD2	-1.357625
ABHD14B	-0.8859
PIGT	-0.151818181818182
ALS2CR4	0.748727272727273
ALAS1	0.0298461538461539
FOXO1	2.570875
CRLF3	-0.682636363636364
C20orf107	-0.1035
FARS2	-0.1368
CCDC28A	0.006
NPHP3	0.1948
OR13F1	0.241
TSEN54	-1.1474
DEFB106B	-0.426833333333333
OR8B4	-0.379
STH	1.4144
ZC3H14	-1.1238
CBX2	-0.0863333333333334
TMEM49	-1.1364
C6orf21	0.982666666666667
FLJ20920	0.191818181818182
CRTAP	0.45478947368421
DDX50	-0.6538
STYXL1	-0.7248
BLVRB	-0.52825
LOC147650	1.18775
MMP24	0.600666666666667
GRID1	2.952
BANF1	-0.35
CTAGEP	-1.063
HMBS	-1.2596
SLC25A24	-1.60625
C14orf50	1.8682
MRO	4.05175
SLC25A15	-0.8602
FAM84B	-0.614857142857143
TDP1	-1.46566666666667
C16orf78	-0.46225
C11orf57	0.2558
RFK	0.1409
ZFYVE9	-0.122454545454545
STCH	0.0163846153846154
WIBG	0.0276
LOC283871	-0.90025
GBA2	-0.378357142857143
NDUFB3	0.6938
HSD17B13	-0.297333333333333
GRIN3A	1.659
FMNL1	-1.796
SEPT7	1.70707692307692
GNLY	4.28633333333333
GRAMD1C	2.11725
ZNF165	-2.525
USP38	1.348
FAM83A	-3.960625
C14orf24	0.7401875
ARMCX3	1.7181
ARHGDIB	0.20975
AK1	-0.228272727272727
KIAA1045	3.6082
DNAJB13	0.01025
NEU2	0.248333333333333
HIST1H4B	-0.674375
FAM20B	-1.24415384615385
HES2	-0.286789473684211
FAM73B	-0.527230769230769
LOC388381	0.2076
INTS7	-0.912428571428571
AMPH	1.19016666666667
ZNF775	0.1998
UCKL1	-0.885375
C10orf97	0.1776
C1orf161	-0.360166666666667
ALDH1L1	4.7358
FLJ39378	0.708
SLC23A1	-3.01066666666667
RBM4B	0.192
THAP4	-0.2045
OGFRL1	0.5772
KIAA0831	0.402272727272727
PPP1R15A	-0.200125
C1orf96	0.189105263157895
C12orf11	-1.9638
BMF	-0.249727272727273
MAN1A1	-1.07136363636364
KIAA1600	0.010875
NLGN4X	4.02
ALOX12	-1.1675
RB1CC1	-0.256071428571429
NEIL2	0.436384615384615
EIF4E	0.395724137931035
ABHD5	-0.1366
EXOC4	0.5475
CIP29	-0.474375
BATF2	2.2374
SLC29A4	0.160181818181818
HTR4	3.5045
EMB	-2.2008
TRAF6	1.2512
LMNB1	-1.5546
FAM19A5	0.581363636363636
SHE	2.4668
PIK3C2B	0.195
C15orf15	-0.800785714285714
USP15	-0.104461538461539
TCEAL2	5.5724
C5orf39	0.946857142857143
PTGER2	-3.2988
SLC31A1	-0.55152380952381
IFT172	0.3296
ADAM29	0.1566
GFOD1	-0.21
ST7L	0.616625
C15orf26	-2.5266
PKN3	-2.037
CNTD1	0.91275
COMMD1	0.4187
NTRK2	5.7123125
FOXN3	0.555
MFGE8	-0.00900000000000001
PFKFB2	1.661875
TAS2R4	0.4882
ENTHD1	1.2325
PRMT5	-1.2984
MGC16384	0.344636363636364
LOC442229	-0.6016
TSKU	-0.186727272727273
KRTCAP3	-3.16609090909091
PDLIM1	-0.769615384615385
KCNS2	0.0806666666666667
RNF126	-0.486
CEP63	-0.8497
CLIC4	2.0445
hCG_1990170	3.522
ACR	0.830615384615385
KLK7	-1.1162
ALOX5AP	5.455
RIPK3	2.6632
TAS2R9	0.443666666666667
C19orf18	3.45166666666667
BIRC6	-0.288578947368421
ZNF16	-0.415333333333333
RFT1	-0.9412
SLC8A2	-0.6668
TACC1	0.928636363636364
ITGAD	0.1704
SAMHD1	1.38966666666667
SH3PXD2B	1.26207692307692
EPC2	1.1016
C20orf85	0.3652
ATP13A2	-0.2235
KRT4	0.367090909090909
CAPNS1	-0.3474
MDM2	4.406875
PCDH20	2.4702
KCNK9	0.487333333333333
OR2C1	-0.0646666666666667
KLHDC3	-0.81375
IPPK	-0.111333333333333
EFHD2	0.8449
GALR3	0.593
NBEA	0.978625
ABCA6	3.00661538461538
CLDN3	-3.457625
AKT2	0.0894736842105263
EGFR	0.0846428571428571
RBM16	0.2804
