Hybridization REF	TCGA-76-6660-01A-11R-1847-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0704375
CREB3L1	-0.754666666666667
RPS11	-0.3281
PNMA1	1.1572
MMP2	-1.23075
C10orf90	0.6396
ZHX3	0.78225
ERCC5	0.1046
GPR98	0.4535
RXFP3	0.055
APBB2	0.6086
PRO0478	-0.112
KLHL13	1.4716
PRSSL1	-1.614125
PDCL3	0.147625
DECR1	0.0376
SALL1	2.0885
CADM4	2.229625
RPS18	-0.757105263157895
HNRPD	-0.0196666666666667
CFHR5	0.420875
SLC10A7	0.271090909090909
OR2K2	0.735333333333333
LMAN1	-0.917090909090909
SUHW1	-1.66
CHD8	-0.0295384615384615
SUMO1	-0.0265384615384615
GP1BA	0.246
DDB1	-0.17575
MYO9B	0.537642857142857
MMP7	2.6318
CRNKL1	0.2591
C9orf45	0.057
XAB2	-0.3768
RTN1	1.937
KLHL14	-0.8863
TBX10	-1.984
CENPQ	-1.1324
UTY	1.75236842105263
ZBTB12	0.251333333333333
DTNBP1	-0.0244
KBTBD8	0.883625
ZEB1	1.92875
ZG16	-2.0494
MIER1	0.255769230769231
ADAM5P	-0.621333333333333
CHD9	0.572809523809524
STK16	-0.0612
KIAA1486	1.23666666666667
TOB2	0.73925
BANK1	0.648
OR2V2	0.3952
GRM2	0.162125
PROSC	0.2251
SPIN2B	0.0492
PIR	-0.725272727272727
IPO9	0.388714285714286
EVC	0.355
CXCL13	3.5915
KIAA1199	-1.07761538461538
SORL1	1.269
NAT10	-0.6576
CHD1	-0.3838
SYN3	0.9854
SLC22A2	-1.369
SERPINF1	-1.023125
WDR34	-0.4046
OR7A17	-0.6958
C9orf11	0.735666666666667
RNF216L	0.571916666666667
LHB	-0.618333333333333
STK25	-0.3777
TAOK3	1.0613
LOC152573	-1.7178
C3orf39	0.8695
C14orf108	0.348615384615385
CDC25B	-0.248642857142857
BMP3	0.438
TMEM180	0.043
MAP1LC3C	0.4516
CRYGC	-1.18066666666667
POU3F1	-0.0243846153846154
C20orf32	-1.37233333333333
CCDC95	-0.7
HIGD1B	2.3794
USP6NL	-0.334
ABCD4	0.563625
DIMT1L	-0.355625
TEK	-0.0709090909090909
SLC25A46	-0.481
LARP7	-0.289214285714286
CD160	-0.16625
MT1JP	1.06971428571429
PHF20	-0.286619047619048
CPNE4	1.5718
GTPBP1	-0.332368421052632
RAB33B	1.411375
ALDOC	0.131272727272727
ZNF212	-0.0466
NUDT1	-0.6
RFPL2	0.270333333333333
ZNF83	0.54775
GDPD5	-1.0414
PDCD4	-0.3655
CEP350	0.2614
OR10A2	-0.2324
CST7	-0.645
CIAO1	-0.6926
SELL	0.714
OR8J3	-0.0853333333333333
LTBP4	0.421375
SIRT6	0.0106
CCL19	1.0516
PPIL1	-0.395375
GBP7	0.012
STK17A	0.0455384615384616
ABR	0.5064
OR9G1	0.3915
FOXE1	-1.3446
CNGA3	1.748
GML	-0.720333333333333
CD38	-0.5724
ZDHHC6	0.228875
NEFH	-1.885
CTDSP2	-0.0625
PGBD5	0.497777777777778
CCNY	0.192555555555556
RMND5B	-0.1611875
ZNF257	-3.013
FLJ22167	0.3381
EXOSC7	-0.25325
ROR2	-0.6864
MAOA	0.681818181818182
TNNT3	-0.121875
GYPC	-0.2465
C7orf33	-0.48
PLIN	0.24925
LOC90826	0.172
RNF4	-0.0355384615384615
F8A1	-0.32
PLEKHG4	-2.068
GRB2	0.194592592592593
HIST1H2AD	-1.09
DUS3L	-0.52825
EIF1	-0.048
RP5-1077B9.4	-0.787333333333333
FPGT	0.501
GDF10	-0.75625
COQ9	-0.5714
GCC2	0.114388888888889
RARRES3	1.04809090909091
PLXNA1	0.0653571428571429
KIAA0100	-0.509714285714286
PMF1	-0.5074
FNDC1	1.0402
HS2ST1	0.3130625
CRELD2	-0.0546
C8G	-1.339
CD82	0.0652
LIM2	-1.23966666666667
