Hybridization REF	TCGA-41-5651-01A-01R-1700-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.6291875
CREB3L1	-0.382166666666667
RPS11	-0.6663
PNMA1	1.5402
MMP2	-0.82525
C10orf90	0.9678
ZHX3	1.7745
ERCC5	0.5598
GPR98	1.72218181818182
RXFP3	0.289
APBB2	2.2038
PRO0478	-0.217909090909091
KLHL13	1.6026
PRSSL1	-1.37775
PDCL3	0.255
DECR1	0.0641
SALL1	1.21075
CADM4	1.742
RPS18	-0.157789473684211
HNRPD	0.3712
CFHR5	0.604
SLC10A7	-0.579363636363636
OR2K2	0.705666666666667
LMAN1	-2.65254545454545
SUHW1	-3.43
CHD8	0.166461538461538
SUMO1	-0.493461538461538
GP1BA	0.282846153846154
DDB1	0.052125
MYO9B	0.666285714285714
MMP7	1.9206
CRNKL1	0.8226
C9orf45	0.8405
XAB2	1.0848
RTN1	3.2628
KLHL14	-0.961
TBX10	-1.45233333333333
CENPQ	-0.7158
UTY	-1.38788888888889
ZBTB12	-0.287333333333333
DTNBP1	0.1363
KBTBD8	0.540375
ZEB1	2.392
ZG16	-2.6584
MIER1	-0.738923076923077
ADAM5P	0.0866666666666667
CHD9	0.569761904761905
STK16	-1.3688
KIAA1486	1.919
TOB2	0.910125
BANK1	2.0906
OR2V2	0.8522
GRM2	0.76425
PROSC	0.6703
SPIN2B	0.2166
PIR	-1.898
IPO9	1.031
EVC	-0.88975
CXCL13	0.872375
KIAA1199	-1.96384615384615
SORL1	1.282
NAT10	-0.616
CHD1	-0.7804
SYN3	1.6852
SLC22A2	-0.496
SERPINF1	-1.94525
WDR34	-0.594
OR7A17	0.1688
C9orf11	1.00633333333333
RNF216L	0.943666666666667
LHB	-0.0693333333333333
STK25	-0.0401
TAOK3	1.4356
LOC152573	2.4822
C3orf39	2.07
C14orf108	0.161230769230769
CDC25B	-0.196571428571429
BMP3	0.252333333333333
TMEM180	0.474
MAP1LC3C	0.496
CRYGC	-0.834
POU3F1	0.652461538461538
C20orf32	-1.05
CCDC95	0.515
HIGD1B	5.8446
USP6NL	-0.159
ABCD4	0.317875
DIMT1L	0.01225
TEK	0.727181818181818
SLC25A46	-0.6748
LARP7	-1.30957142857143
CD160	0.459714285714286
MT1JP	1.89014285714286
PHF20	0.311047619047619
CPNE4	2.625
GTPBP1	-0.237789473684211
RAB33B	-0.21625
ALDOC	1.62481818181818
ZNF212	0.4728
NUDT1	0.38825
RFPL2	1.4605
ZNF83	-0.446125
GDPD5	-1.5824
PDCD4	-0.4375
CEP350	0.4208
OR10A2	0.2616
CST7	-0.4236
CIAO1	-0.6898
SELL	0.310545454545455
OR8J3	0.201
LTBP4	-0.149125
SIRT6	0.8292
CCL19	1.313
PPIL1	-0.02
GBP7	0.0345
STK17A	0.0718461538461538
ABR	0.0278
OR9G1	-0.379
FOXE1	-0.7361
CNGA3	3.82
GML	0.412
CD38	-0.8036
ZDHHC6	-0.707875
NEFH	-1.4896
CTDSP2	3.3398125
PGBD5	2.072
CCNY	0.106444444444444
RMND5B	-0.39325
ZNF257	-2.4934
FLJ22167	-0.1472
EXOSC7	-0.7495
ROR2	-1.073
MAOA	0.830727272727273
TNNT3	0.0575
GYPC	-2.6215
C7orf33	0.039
PLIN	0.39025
LOC90826	-0.476
RNF4	0.722692307692308
F8A1	-0.396875
PLEKHG4	-5.2842
GRB2	-0.0441481481481482
HIST1H2AD	-0.9888
DUS3L	0.673
EIF1	-0.813875
RP5-1077B9.4	-1.13344444444444
FPGT	0.3938
GDF10	3.126875
COQ9	0.3576
GCC2	-0.426666666666667
RARRES3	1.57981818181818
PLXNA1	0.3605
KIAA0100	-0.314928571428571
PMF1	0.9198
FNDC1	1.2192
HS2ST1	-0.1960625
CRELD2	-0.372
C8G	-2.46266666666667
CD82	1.3364
LIM2	-1.47633333333333
UNQ6490	-0.486666666666667
MMP16	1.50966666666667
DRD3	0.138
C5orf26	0.005
C11orf73	0.5348
PTP4A2	-0.4322
OR4M2	0.095
HPCA	-1.41275
SEC14L1	-0.78475
