Source Name	Characteristics [Organism_Part]	Term Source REF	Comment [Source]	Provider	Material Type	Term Source REF	Characteristics [Organism]	Term Source REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Extract Name	Comment [TCGA Barcode]	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [TCGA Archive Name]
TCGA-02-0038-01A-01R-0179-07	Brain	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-02-0038-01A-01R-0179-07	tgen.org:nucleic_acid_extraction:clin:01	none	6c560aae-b498-4bc8-9ac4-b4ef8546c8b2	TCGA-02-0038-01A-01R-0179-07	unc.edu:labeling:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	US45102955_251584710229_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	US45102955_251584710229_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	US45102955_251584710229_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_1:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_1:01	none	Stratagene Univeral Reference	->	unc.edu:labeling:AgilentG4502A_07_1:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	US45102955_251584710229_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	US45102955_251584710229_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0038-01A-01R-0179-07	US45102955_251584710229_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
TCGA-02-0057-01A-01R-0179-07	Brain	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-02-0057-01A-01R-0179-07	tgen.org:nucleic_acid_extraction:clin:01	none	13cc5206-c5ed-4db8-a12f-aee850d396e4	TCGA-02-0057-01A-01R-0179-07	unc.edu:labeling:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	US45102955_251584710253_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	US45102955_251584710253_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	US45102955_251584710253_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_1:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_1:01	none	Stratagene Univeral Reference	->	unc.edu:labeling:AgilentG4502A_07_1:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	US45102955_251584710253_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	US45102955_251584710253_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0057-01A-01R-0179-07	US45102955_251584710253_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
TCGA-02-0055-01A-01R-0179-07	Brain	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-02-0055-01A-01R-0179-07	tgen.org:nucleic_acid_extraction:clin:01	none	02538b52-936d-4eae-bd56-7af2052f103c	TCGA-02-0055-01A-01R-0179-07	unc.edu:labeling:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	US45102955_251584710252_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	US45102955_251584710252_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	US45102955_251584710252_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_1:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_1:01	none	Stratagene Univeral Reference	->	unc.edu:labeling:AgilentG4502A_07_1:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	US45102955_251584710252_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	US45102955_251584710252_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0055-01A-01R-0179-07	US45102955_251584710252_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
TCGA-02-0058-01A-01R-0179-07	Brain	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-02-0058-01A-01R-0179-07	tgen.org:nucleic_acid_extraction:clin:01	none	03e1af9a-5e28-4319-9f7c-b816a2f25908	TCGA-02-0058-01A-01R-0179-07	unc.edu:labeling:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	US45102955_251584710220_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	US45102955_251584710220_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	US45102955_251584710220_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_1:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_1:01	none	Stratagene Univeral Reference	->	unc.edu:labeling:AgilentG4502A_07_1:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	US45102955_251584710220_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	US45102955_251584710220_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0058-01A-01R-0179-07	US45102955_251584710220_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
TCGA-02-0047-01A-01R-0179-07	Brain	MGED Ontology	->	BCR	whole_organism	MGED Ontology	Home sapien	ncbitax	tgen.org:biopsy:clin:01	TCGA-02-0047-01A-01R-0179-07	tgen.org:nucleic_acid_extraction:clin:01	none	f397de62-bab9-4f1a-8a01-f4b8bdb0840f	TCGA-02-0047-01A-01R-0179-07	unc.edu:labeling:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	cy5	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	US45102955_251584710212_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	US45102955_251584710212_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	US45102955_251584710212_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
Stratagene Univeral Reference	Various	MGED Ontology	Cell Lines	http://www.stratagene.com/	total_RNA	MGED Ontology	Home sapien	ncbitax	unc.edu:split:AgilentG4502A_07_1:01	Stratagene Univeral Reference	unc.edu:store:AgilentG4502A_07_1:01	none	Stratagene Univeral Reference	->	unc.edu:labeling:AgilentG4502A_07_1:01	Stratagene Univeral Reference	cy3	MGED Ontology	unc.edu:hybridization:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	Agilent.com:PhysicalArrayDesign:AgilentG4502A_07_1	caArray	unc.edu:feature_extraction:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	US45102955_251584710212_S01_GE2-v5_91_0806.txt	Expression-Gene	Level 1	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_1.1.3.0	unc.edu:unc_lowess_normalization_probe_level:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	US45102955_251584710212_S01_GE2-v5_91_0806.txt_lmean.out.logratio.probe.tcga_level2.data.txt	Expression-Gene	Level 2	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_2.1.3.0	unc.edu:unc_lowess_normalization_gene_level:AgilentG4502A_07_1:01	TCGA-02-0047-01A-01R-0179-07	US45102955_251584710212_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt	Expression-Gene	Level 3	Yes	unc.edu_GBM.AgilentG4502A_07_1.Level_3.1.3.0
