Platform Type	Center	Platform	Level	Sample	Barcode	File Name
METADATA	UNC	AgilentG4502A_07_1	n/a	selected_samples	N/A	unc.edu_GBM.AgilentG4502A_07_1.idf.txt
METADATA	UNC	AgilentG4502A_07_1	n/a	selected_samples	N/A	unc.edu_GBM.AgilentG4502A_07_1.sdrf.txt
METADATA	UNC	AgilentG4502A_07_2	n/a	selected_samples	N/A	unc.edu_GBM.AgilentG4502A_07_2.idf.txt
METADATA	UNC	AgilentG4502A_07_2	n/a	selected_samples	N/A	unc.edu_GBM.AgilentG4502A_07_2.sdrf.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0074-01	TCGA-02-0074-01A-01R-0195-07	US14702406_251584710166_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0075-01	TCGA-02-0075-01A-01R-0195-07	US14702406_251584710167_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0102-01	TCGA-02-0102-01A-01R-0195-07	US14702406_251584710168_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0064-01	TCGA-02-0064-01A-01R-0195-07	US14702406_251584710169_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0116-01	TCGA-02-0116-01A-01R-0195-07	US14702406_251584710170_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0086-01	TCGA-02-0086-01A-01R-0195-07	US14702406_251584710171_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0113-01	TCGA-02-0113-01A-01R-0195-07	US14702406_251584710173_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0069-01	TCGA-02-0069-01A-01R-0195-07	US45102955_251584710161_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0107-01	TCGA-02-0107-01A-01R-0195-07	US45102955_251584710162_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0080-01	TCGA-02-0080-01A-01R-0195-07	US45102955_251584710163_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0099-01	TCGA-02-0099-01A-01R-0195-07	US45102955_251584710164_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0085-01	TCGA-02-0085-01A-01R-0195-07	US45102955_251584710174_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0083-01	TCGA-02-0083-01A-01R-0195-07	US45102955_251584710175_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0001-01	TCGA-02-0001-01C-01R-0179-07	US45102955_251584710209_S02_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0034-01	TCGA-02-0034-01A-01R-0179-07	US45102955_251584710211_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0047-01	TCGA-02-0047-01A-01R-0179-07	US45102955_251584710212_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0037-01	TCGA-02-0037-01A-01R-0179-07	US45102955_251584710217_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0052-01	TCGA-02-0052-01A-01R-0179-07	US45102955_251584710219_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0058-01	TCGA-02-0058-01A-01R-0179-07	US45102955_251584710220_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0003-01	TCGA-02-0003-01A-01R-0179-07	US45102955_251584710222_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0006-01	TCGA-02-0006-01B-01R-0179-07	US45102955_251584710223_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0007-01	TCGA-02-0007-01A-01R-0179-07	US45102955_251584710224_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0033-01	TCGA-02-0033-01A-01R-0179-07	US45102955_251584710228_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0038-01	TCGA-02-0038-01A-01R-0179-07	US45102955_251584710229_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0046-01	TCGA-02-0046-01A-01R-0179-07	US45102955_251584710230_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0054-01	TCGA-02-0054-01A-01R-0179-07	US45102955_251584710251_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0055-01	TCGA-02-0055-01A-01R-0179-07	US45102955_251584710252_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0057-01	TCGA-02-0057-01A-01R-0179-07	US45102955_251584710253_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0060-01	TCGA-02-0060-01A-01R-0179-07	US45102955_251584710254_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0115-01	TCGA-02-0115-01A-01R-0195-07	US45102955_251584710296_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0089-01	TCGA-02-0089-01A-01R-0195-07	US45102955_251584710297_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0114-01	TCGA-02-0114-01A-01R-0195-07	US45102955_251584710298_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0145-01	TCGA-06-0145-01A-03R-0213-07/TCGA-06-0145-01A-06R-0213-07/TCGA-06-0145-01A-01R-0213-07/TCGA-06-0145-01A-04R-0213-07/TCGA-06-0145-01A-02R-0213-07/TCGA-06-0145-01A-05R-0213-07	US45102955_251584710308_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0130-01	TCGA-06-0130-01A-01R-0213-07	US45102955_251584710309_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0145-01	TCGA-06-0145-01A-03R-0213-07/TCGA-06-0145-01A-06R-0213-07/TCGA-06-0145-01A-01R-0213-07/TCGA-06-0145-01A-04R-0213-07/TCGA-06-0145-01A-02R-0213-07/TCGA-06-0145-01A-05R-0213-07	US45102955_251584710310_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0145-01	TCGA-06-0145-01A-03R-0213-07/TCGA-06-0145-01A-06R-0213-07/TCGA-06-0145-01A-01R-0213-07/TCGA-06-0145-01A-04R-0213-07/TCGA-06-0145-01A-02R-0213-07/TCGA-06-0145-01A-05R-0213-07	US45102955_251584710388_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0169-01	TCGA-06-0169-01A-01R-0213-07	US45102955_251584710389_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0128-01	TCGA-06-0128-01A-01R-0213-07	US45102955_251584710390_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0137-01	TCGA-06-0137-01A-03R-0213-07/TCGA-06-0137-01B-02R-0213-07/TCGA-06-0137-01A-02R-0213-07/TCGA-06-0137-01A-01R-0213-07	US45102955_251584710391_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0145-01	TCGA-06-0145-01A-03R-0213-07/TCGA-06-0145-01A-06R-0213-07/TCGA-06-0145-01A-01R-0213-07/TCGA-06-0145-01A-04R-0213-07/TCGA-06-0145-01A-02R-0213-07/TCGA-06-0145-01A-05R-0213-07	US45102955_251584710392_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0010-01	TCGA-02-0010-01A-01R-0179-07	US45102955_251584710412_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0011-01	TCGA-02-0011-01B-01R-0179-07	US45102955_251584710413_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0014-01	TCGA-02-0014-01A-01R-0179-07	US45102955_251584710414_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0021-01	TCGA-02-0021-01A-01R-0179-07	US45102955_251584710415_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0024-01	TCGA-02-0024-01B-01R-0179-07	US45102955_251584710416_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0027-01	TCGA-02-0027-01A-01R-0179-07	US45102955_251584710417_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-02-0043-01	TCGA-02-0043-01A-01R-0179-07	US45102955_251584710420_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0137-01	TCGA-06-0137-01A-03R-0213-07/TCGA-06-0137-01B-02R-0213-07/TCGA-06-0137-01A-02R-0213-07/TCGA-06-0137-01A-01R-0213-07	US45102955_251584710421_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0142-01	TCGA-06-0142-01A-01R-0213-07	US45102955_251584710422_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0147-01	TCGA-06-0147-01A-02R-0229-07/TCGA-06-0147-01A-01R-0213-07	US45102955_251584710423_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0141-01	TCGA-06-0141-01A-01R-0213-07	US45102955_251584710424_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0145-01	TCGA-06-0145-01A-03R-0213-07/TCGA-06-0145-01A-06R-0213-07/TCGA-06-0145-01A-01R-0213-07/TCGA-06-0145-01A-04R-0213-07/TCGA-06-0145-01A-02R-0213-07/TCGA-06-0145-01A-05R-0213-07	US45102955_251584710425_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0125-01	TCGA-06-0125-01A-01R-0213-07	US45102955_251584710426_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0137-01	TCGA-06-0137-01A-03R-0213-07/TCGA-06-0137-01B-02R-0213-07/TCGA-06-0137-01A-02R-0213-07/TCGA-06-0137-01A-01R-0213-07	US45102955_251584710427_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0143-01	TCGA-06-0143-01A-01R-0213-07	US45102955_251584710428_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0148-01	TCGA-06-0148-01A-04R-0229-07/TCGA-06-0148-01A-05R-0229-07/TCGA-06-0148-01A-03R-0229-07/TCGA-06-0148-01A-01R-0213-07	US45102955_251584710429_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0126-01	TCGA-06-0126-01A-01R-0213-07	US45102955_251584710430_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
Expression-Genes	UNC	AgilentG4502A_07_1	3	TCGA-06-0137-01	TCGA-06-0137-01A-03R-0213-07/TCGA-06-0137-01B-02R-0213-07/TCGA-06-0137-01A-02R-0213-07/TCGA-06-0137-01A-01R-0213-07	US45102955_251584710431_S01_GE2-v5_91_0806.txt_lmean.out.logratio.gene.tcga_level3.data.txt
