




Analysis Type:	PANTHER Overrepresentation Test (release 20160321)
Annotation Version and Release Date:	GO Ontology database  Released 2016-04-23
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Bonferroni correction:	true
GO biological process complete	Homo sapiens - REFLIST (20814)	upload_1 (916)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
Unclassified (UNCLASSIFIED)	3934	64	173.13	-	.37	0.00E00
biological_process (GO:0008150)	16880	853	742.87	+	1.15	1.75E-21
cellular process (GO:0009987)	14730	782	648.25	+	1.21	1.98E-21
cellular component organization or biogenesis (GO:0071840)	5745	388	252.83	+	1.53	5.69E-18
cellular component organization (GO:0016043)	5588	379	245.92	+	1.54	1.26E-17
primary metabolic process (GO:0044238)	9379	538	412.76	+	1.30	5.97E-13
cellular metabolic process (GO:0044237)	9234	531	406.38	+	1.31	8.28E-13
organelle organization (GO:0006996)	3308	242	145.58	+	1.66	2.73E-12
organic substance metabolic process (GO:0071704)	9702	547	426.97	+	1.28	1.02E-11
metabolic process (GO:0008152)	10746	591	472.92	+	1.25	1.87E-11
cellular macromolecule metabolic process (GO:0044260)	7364	440	324.08	+	1.36	2.22E-11
biological regulation (GO:0065007)	11559	617	508.70	+	1.21	1.52E-09
cellular localization (GO:0051641)	2083	164	91.67	+	1.79	2.09E-09
macromolecule metabolic process (GO:0043170)	8085	464	355.81	+	1.30	2.38E-09
regulation of biological process (GO:0050789)	11094	594	488.23	+	1.22	8.03E-09
establishment of localization in cell (GO:0051649)	1670	135	73.49	+	1.84	7.02E-08
regulation of metabolic process (GO:0019222)	6911	402	304.15	+	1.32	9.41E-08
regulation of cellular process (GO:0050794)	10542	564	463.94	+	1.22	1.57E-07
single-organism intracellular transport (GO:1902582)	1372	116	60.38	+	1.92	1.80E-07
gene expression (GO:0010467)	4236	271	186.42	+	1.45	1.83E-07
cellular nitrogen compound metabolic process (GO:0034641)	5778	344	254.28	+	1.35	6.80E-07
single-organism localization (GO:1902578)	3582	235	157.64	+	1.49	7.26E-07
single-organism process (GO:0044699)	13224	673	581.97	+	1.16	8.25E-07
intracellular transport (GO:0046907)	1529	123	67.29	+	1.83	9.30E-07
single-organism transport (GO:0044765)	3384	224	148.93	+	1.50	1.09E-06
localization (GO:0051179)	5036	307	221.63	+	1.39	1.10E-06
nitrogen compound metabolic process (GO:0006807)	6158	359	271.01	+	1.32	2.75E-06
macromolecular complex subunit organization (GO:0043933)	2348	167	103.33	+	1.62	3.39E-06
nucleobase-containing compound metabolic process (GO:0006139)	4928	299	216.88	+	1.38	3.85E-06
regulation of cellular metabolic process (GO:0031323)	6100	355	268.45	+	1.32	4.73E-06
cellular protein metabolic process (GO:0044267)	3914	248	172.25	+	1.44	5.13E-06
establishment of localization (GO:0051234)	4165	260	183.30	+	1.42	6.88E-06
heterocycle metabolic process (GO:0046483)	5149	308	226.60	+	1.36	8.53E-06
regulation of primary metabolic process (GO:0080090)	5997	348	263.92	+	1.32	1.16E-05
