Hybridization REF	TCGA-E1-5311-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.4855625
CREB3L1	-0.169333333333333
RPS11	0.2007
PNMA1	3.0906
MMP2	-1.0775
C10orf90	0.3888
ZHX3	1.70175
ERCC5	0.3828
GPR98	1.47316666666667
RXFP3	0.487666666666667
APBB2	1.1898
PRO0478	-0.822090909090909
KLHL13	1.1646
PRSSL1	-0.983625
PDCL3	-0.237125
DECR1	0.7439
SALL1	1.403875
CADM4	1.20475
RPS18	-0.444631578947368
HNRPD	0.103933333333333
CFHR5	0.0295714285714286
SLC10A7	0.388818181818182
OR2K2	0.690333333333333
LMAN1	-2.078
SUHW1	-3.083
CHD8	-0.204461538461538
SUMO1	0.0165384615384615
GP1BA	0.426153846153846
DDB1	0.024625
MYO9B	-0.321428571428571
MMP7	-1.263
CRNKL1	0.5189
C9orf45	0.36475
XAB2	0.8123
RTN1	4.6099
KLHL14	-0.8715
TBX10	-1.01066666666667
CENPQ	-0.0654
UTY	1.97626315789474
ZBTB12	0.0376666666666667
DTNBP1	-1.3731
KBTBD8	0.41725
ZEB1	2.745125
ZG16	-1.339
MIER1	-0.923
ADAM5P	-0.341333333333333
CHD9	0.629238095238095
STK16	-0.446
KIAA1486	-0.0986666666666667
TOB2	1.449125
BANK1	1.1312
OR2V2	0.4772
GRM2	0.545375
PROSC	0.8861
SPIN2B	1.2238
PIR	-2.35554545454545
IPO9	-0.710285714285714
EVC	-1.699875
CXCL13	0.571625
KIAA1199	-0.454076923076923
SORL1	2.1142
NAT10	-0.6068
CHD1	-1.403
SYN3	1.9816
SLC22A2	-0.1804
SERPINF1	-2.491375
WDR34	-2.0488
OR7A17	0.2706
C9orf11	0.275666666666667
RNF216L	-0.18925
LHB	-0.0666666666666667
STK25	0.5008
TAOK3	2.6745
LOC152573	-0.6022
C3orf39	2.1666
C14orf108	0.948
CDC25B	0.0838571428571429
BMP3	0.385666666666667
TMEM180	0.655
MAP1LC3C	1.2132
CRYGC	-0.578333333333333
POU3F1	0.17
C20orf32	-0.909333333333333
CCDC95	-0.188
HIGD1B	5.5014
USP6NL	-0.1504
ABCD4	0.467125
DIMT1L	0.4098125
TEK	1.76172727272727
SLC25A46	0.2484
LARP7	-1.991
CD160	0.09675
MT1JP	1.23485714285714
PHF20	-0.292285714285714
CPNE4	3.374
GTPBP1	0.176157894736842
RAB33B	0.666375
ALDOC	3.50172727272727
ZNF212	-0.0894
NUDT1	-0.55425
RFPL2	1.35266666666667
ZNF83	-1.052
GDPD5	-0.8562
PDCD4	0.913769230769231
CEP350	0.588
OR10A2	0.1328
CST7	-1.2836
CIAO1	-1.2936
SELL	0.832
OR8J3	0.579333333333333
LTBP4	-0.6375
SIRT6	0.1934
CCL19	3.1548
PPIL1	-0.873125
GBP7	0.98325
STK17A	0.245923076923077
ABR	2.3128
OR9G1	0.587
FOXE1	-0.4986
CNGA3	2.64466666666667
GML	-0.111666666666667
CD38	-1.069
ZDHHC6	0.101625
NEFH	1.3452
CTDSP2	0.8471875
PGBD5	2.78577777777778
CCNY	0.577222222222222
RMND5B	0.3063125
ZNF257	-1.1966
FLJ22167	1.3085
EXOSC7	-0.482375
ROR2	-1.1564
MAOA	2.95372727272727
TNNT3	0.124875
GYPC	-1.78033333333333
C7orf33	-0.112
PLIN	0.827625
LOC90826	0.0076
RNF4	-0.112384615384615
F8A1	0.122625
PLEKHG4	-4.3402
GRB2	0.247259259259259
HIST1H2AD	-1.7222
DUS3L	-0.195875
EIF1	0.11525
RP5-1077B9.4	-0.837666666666667
FPGT	-0.0414
GDF10	4.0525
COQ9	0.63
GCC2	0.0724444444444444
RARRES3	0.115272727272727
PLXNA1	-0.015
KIAA0100	-0.279642857142857
PMF1	-0.4588
FNDC1	0.7624
HS2ST1	-0.5826875
CRELD2	-0.5656
C8G	-2.09533333333333
CD82	1.3616
LIM2	-0.753666666666667
UNQ6490	0.0163333333333333
MMP16	1.6375
DRD3	0.00933333333333334
C5orf26	1.6368
C11orf73	0.5048
PTP4A2	-1.717
OR4M2	0.107
HPCA	0.042375
SEC14L1	1.449625
CHFR	-0.323818181818182
EMILIN1	-0.4167
NDUFS4	0.2098
COL18A1	-1.9448
PDZD3	0.114615384615385
C9orf16	0.00387499999999999
ERBB2IP	0.207857142857143
EMX2	6.532
FUS	-0.4972
TF	-0.618692307692308
CLCN4	2.64525
CXorf56	1.124
C11orf72	0.306
ELAC2	-0.4888
NPR1	-1.4298
ASS1	-2.96933333333333
USP42	-0.2845
POLR2J	-0.902333333333333
SEC23IP	-0.671875
UQCRC1	0.1052
LOC729603	-0.7258
C1orf71	-0.0343
POLG	-3.0075
ADAM23	-0.482166666666667
TFR2	-1.0222
RICTOR	0.318384615384615
MGC39606	3.8736
C19orf55	-0.602272727272727
SNAPC1	-1.322375
GNA11	1.20309090909091
CCDC52	-1.14
FSIP1	0.0456666666666667
UPF3A	0.4967
IGSF11	2.111875
LAGE3	-0.6542
CHST6	-0.822333333333333
UNC13B	0.803727272727273
TTLL4	0.221
ZNF687	0.7641
SDC2	-0.964357142857143
COX7A2	-0.1016
LAMB4	-0.29
FAM24A	0.483
LRRTM3	3.251125
GPHB5	0.092
OR4C13	0.434
EIF3EIP	1.29544444444444
HABP4	2.424
TMEM125	0.7194
CNTN2	3.14227272727273
ASNSD1	0.871
FUT4	-1.3264
ACF	-2.987
LOC158381	-0.2655
CDH8	1.9076
AGPS	-1.070625
C4orf18	0.670545454545454
PECI	0.0860714285714286
UNG	-0.807272727272727
GSTP1	-0.680545454545455
DCUN1D5	-1.2095
DKFZP564J0863	-3.5642
SLC9A3R1	-0.692909090909091
BCDO2	0.0809090909090909
CHMP7	0.4469
REM2	-0.0256666666666667
DNHD1	-0.3319
FKBP4	-1.46036363636364
ZNF350	1.2078
MGC11102	-0.461909090909091
BST1	-0.4136
KISS1R	-0.196666666666667
NCR2	0.505333333333333
DEFB125	0.0463333333333333
UBE2W	0.605545454545454
KRT15	-4.28481818181818
C10orf99	0.182333333333333
SCN11A	0.357818181818182
GFI1	-3.6552
RDHE2	1.135125
FHL1	3.2635
OSGEP	-0.36375
GATA1	-4.032875
SMC6	-0.7708
TTTY14	1.603
LPIN3	0.279
RPL4	0.415357142857143
RBPMS	-2.00742857142857
PRPF3	-0.449875
EMR1	-2.9235
SPATA19	0.7222
XCR1	0.0426666666666667
IRX3	-0.943692307692308
RBM6	-0.0562
KLF4	-0.103769230769231
UNC5CL	-0.9124
SEBOX	0.262333333333333
BTK	-1.7556
KRCC1	1.2898
C6orf27	0.432333333333333
SYTL5	0.218
PRND	0.176454545454545
LOC653319	0.261666666666667
PIGL	-2.13827272727273
HUS1	-0.99075
SFRS6	-1.740625
C17orf77	0.361666666666667
UIMC1	0.0205
FXYD2	-1.30723076923077
LOC283152	-1.1988
ZNF667	0.7394
ZCCHC12	2.836
TFEC	1.11446153846154
ATP7B	0.523875
POLD2	-0.577375
RG9MTD1	0.363
ACOT2	-1.508625
HIST1H4I	-1.13563636363636
PPARGC1A	1.361
ETFA	-1.2735
POLRMT	-0.2488
ZNF146	-0.407181818181818
MIA2	-1.713
KLHL6	-1.625375
HOXB5	-2.39145454545455
NENF	0.059875
CUGBP1	-1.091
PRSS22	-1.262125
CASC4	0.611692307692308
CUL4B	-0.129923076923077
CENPJ	-0.873642857142857
PITX1	-2.67475
FLJ31033	-0.0328571428571429
CELSR3	1.7265
ZNF568	0.6978
ITSN1	0.0769333333333334
EHBP1L1	-2.292375
C19orf2	-0.916
DCTN1	1.1202
LIN28B	-3.974625
TNKS2	1.374
C1QBP	-0.3025
CADPS2	0.2828
SRMS	-0.0196
GJA9	0.4395
MGC24975	0.334875
TRIM45	-2.838625
TSP50	0.2526
TCP1	-0.3902
TMED7	0.129166666666667
CMA1	0.136666666666667
CENPL	-1.21175
PTCRA	-0.110666666666667
FST	-4.6176
VWCE	-1.6032
PAWR	-3.8562
ABCC12	1.343875
LDLR	-2.34292307692308
ASTN2	2.91142857142857
LOC441212	0.128818181818182
GPATCH8	0.472333333333333
TANC2	0.023375
KIF4A	-3.4826
C18orf18	0.7412
PGM1	-0.682
KIAA0258	0.2262
CPD	-0.0997
SNCAIP	3.403
DCT	-3.75288888888889
HLA-DOA	0.870774193548387
OR11L1	0.562333333333333
UPK1B	0.26125
DNAJB4	1.2175
UGT1A8	-0.2648
HIST1H4L	-1.065
PECR	-0.86775
HSPA2	2.1042
WFIKKN1	-0.323666666666667
SERP1	0.792
SYDE2	-1.6
TACR2	0.304
NUP85	-1.1356
CD177	-0.0518888888888889
LGR5	0.425125
PIGG	-0.6795
PTHR1	1.478
RAB5A	1.98261538461538
FLJ13224	0.115
USP9Y	1.4725
C7orf53	-1.61466666666667
LRP1B	6.0428
XAF1	0.519733333333333
ABCG8	0.0125
ANKDD1A	-0.346125
DAND5	0.679666666666667
SPAG6	0.32825
LINCR	-0.4564
ZDHHC22	3.6326
CCDC60	-0.161
THOC7	-1.22825
TCTA	1.57838461538462
OR8K3	-0.2192
NY-REN-7	0.3898
B2M	-0.227875
C6orf141	-3.2574
LPPR4	6.71666666666667
SQLE	-1.43554545454545
SEPHS1	-0.708
BTBD14B	0.241222222222222
PLRG1	-0.3166
SPG7	0.131285714285714
ZNF614	-0.554444444444445
PARD6G	-0.3985
INPP5B	-0.731307692307692
GRPEL2	-0.433
PPID	-0.974230769230769
TRIM56	-1.3058
UBE2J1	-0.592
IL20RA	1.5968
LOC387856	2.6454
C1orf107	0.4279375
UTS2R	-0.356
C19orf22	-0.4124
SAFB2	0.2157
KIAA0652	1.1968
KLRG1	0.189875
MS4A8B	0.765857142857143
FRAG1	-0.048
KIAA1546	1.054
E2F4	-1.289
CLEC4M	0.250777777777778
BTBD14A	0.3906
KIAA0999	1.41692307692308
GYPA	-3.17628571428571
TAC1	6.25907142857143
TRAIP	-1.958125
KIAA0232	1.08746153846154
ERCC8	-0.3062
GPX4	-0.0466363636363636
KIAA0368	0.9222
GPR157	-2.126375
CTAGE4	-1.559
C9orf30	-0.605125
OR52A1	0.139
HSP90B3P	-1.276
ALG9	-0.183615384615385
BTBD10	1.3194
SDK2	0.2385
BAIAP3	0.3654
RABGGTB	-0.3909
ANKRD40	0.095625
KRT74	1.69066666666667
CALCOCO2	1.10944444444444
SNCA	1.1002
TMSL8	-1.37736363636364
C2orf53	0.342333333333333
ESRRB	-0.154
ARHGAP26	0.0378
TDRD9	2.9126
HRAS	0.202875
KLRC4	0.5235
JAGN1	-0.031125
BSDC1	0.1752
RNF43	-1.868
NDUFAF1	0.7938
PHF12	0.4295
OR1L3	0.3692
FOLR2	2.02713333333333
LYZL6	0.203375
tcag7.1260	-0.427666666666667
WSB1	-1.4215
PROS1	-0.0190769230769231
OSTN	0.773
PSMB8	-0.6136
SOCS4	0.497636363636364
DDIT4L	-0.1058
MAS1	-0.261333333333333
MGC34796	-0.5258
CSHL1	0.045375
TBCCD1	0.16475
ZBTB7C	0.531333333333333
AP2S1	-1.40154545454545
P15RS	1.67
VAT1	-0.959
SHANK3	1.57725
TUFM	-0.13425
THEG	-0.5992
KRT34	-1.0762
SGSM3	-0.0118
TOMM22	-0.2802
SOCS3	-0.1575
CPO	0.799333333333333
POP4	-0.3816
BHLHB3	1.515
MALL	-1.0485
OR1B1	0.223666666666667
PARK2	1.26433333333333
GPR124	-0.5529
LCE1E	-0.200333333333333
RUVBL2	-1.2212
CGRRF1	1.76461538461538
ACPL2	1.4304
WNT10B	0.851818181818182
BAIAP2L2	-1.66218181818182
ISCA1	1.4125
C1orf125	0.0402727272727273
RPAP1	-0.3944
RAI16	0.194875
RPL27	-0.246727272727273
NLRP9	-0.320666666666667
EPN1	0.0216666666666667
LOC388610	0.9314
SLC35A1	0.823769230769231
GAL	-4.684
SLC14A2	0.0966666666666667
RDH11	0.243375
FAM138F	-0.290666666666667
AUH	0.6946
FLJ40243	0.2784
C14orf129	0.34325
MBD2	-1.642375
ABHD14B	-0.9582
PIGT	-1.13072727272727
ALS2CR4	0.196454545454545
ALAS1	0.242153846153846
FOXO1	1.7475
CRLF3	-1.49354545454545
C20orf107	0.072
FARS2	0.519
CCDC28A	0.286
NPHP3	-1.116
OR13F1	0.395
TSEN54	-1.4936
DEFB106B	0.251615384615385
OR8B4	0.536666666666667
STH	2.2184
ZC3H14	-0.2794
CBX2	0.00466666666666667
TMEM49	-1.511
C6orf21	0.523333333333333
FLJ20920	-1.64572727272727
CRTAP	-0.0453684210526316
DDX50	-0.2228
STYXL1	0.63
BLVRB	-1.73725
LOC147650	-1.14275
MMP24	0.625333333333333
GRID1	4.49575
BANF1	-0.173875
CTAGEP	-1.1686
HMBS	-2.0576
SLC25A24	-2.60925
C14orf50	-0.1396
MRO	4.077875
SLC25A15	-0.457
FAM84B	1.84242857142857
TDP1	-1.96866666666667
C16orf78	0.039625
C11orf57	0.1797
RFK	-0.2834
ZFYVE9	-0.652727272727273
STCH	0.646153846153846
WIBG	-0.377
LOC283871	-0.141625
GBA2	0.475642857142857
NDUFB3	-0.507
HSD17B13	0.253333333333333
GRIN3A	4.94775
FMNL1	-1.2845
SEPT7	0.751538461538461
GNLY	1.12
GRAMD1C	0.3815
ZNF165	-2.0068
USP38	0.7512
FAM83A	-3.702875
C14orf24	0.8706875
ARMCX3	1.7455
ARHGDIB	-1.5755
AK1	0.414909090909091
KIAA1045	4.585
DNAJB13	0.052
NEU2	0.517666666666667
HIST1H4B	-1.44375
FAM20B	-1.00423076923077
HES2	-0.635263157894737
FAM73B	-0.0200769230769231
LOC388381	-0.0288
INTS7	-0.740214285714286
AMPH	3.85133333333333
ZNF775	0.6353
UCKL1	-1.159
C10orf97	0.4002
C1orf161	-0.149
ALDH1L1	4.1642
FLJ39378	1.18
SLC23A1	-1.73333333333333
RBM4B	1.311
THAP4	-0.062
OGFRL1	-0.0724
KIAA0831	0.743090909090909
PPP1R15A	-0.6755
C1orf96	1.34
C12orf11	-1.0194
BMF	-1.05709090909091
MAN1A1	-1.8896
KIAA1600	0.674125
NLGN4X	3.8884
ALOX12	-0.373625
RB1CC1	0.608214285714286
NEIL2	1.73053846153846
EIF4E	0.0380689655172414
ABHD5	-0.8072
EXOC4	0.24675
CIP29	0.28
BATF2	0.6944
SLC29A4	0.797363636363636
HTR4	2.4375
EMB	-3.5062
TRAF6	0.4292
LMNB1	-3.95
FAM19A5	2.34245454545455
SHE	1.4708
PIK3C2B	0.8146
C15orf15	-0.266857142857143
USP15	-0.0404615384615385
TCEAL2	5.7896
C5orf39	-1.60371428571429
PTGER2	-2.9566
SLC31A1	-0.664142857142857
IFT172	0.1066
ADAM29	0.2868
GFOD1	2.4252
ST7L	0.177
C15orf26	-2.531
PKN3	-1.383
CNTD1	1.745375
COMMD1	-0.4221
NTRK2	5.607875
FOXN3	1.80990909090909
MFGE8	0.0788461538461538
PFKFB2	0.83975
TAS2R4	0.1452
ENTHD1	-0.622875
PRMT5	0.4225
MGC16384	-1.81709090909091
LOC442229	-1.149
TSKU	-0.876272727272727
KRTCAP3	-3.50436363636364
PDLIM1	-1.97823076923077
KCNS2	1.6455
RNF126	-0.221875
CEP63	-0.2646
CLIC4	0.0384
hCG_1990170	2.7182
ACR	0.705
KLK7	1.7432
ALOX5AP	2.31481818181818
RIPK3	0.8974
TAS2R9	0.0663333333333333
C19orf18	0.416
BIRC6	0.176894736842105
ZNF16	1.624
RFT1	-1.263
SLC8A2	1.8336
TACC1	0.670909090909091
ITGAD	-0.146
SAMHD1	1.684
SH3PXD2B	0.851923076923077
EPC2	2.414
C20orf85	0.3779
ATP13A2	0.031875
KRT4	0.148545454545455
CAPNS1	-0.7828
MDM2	-0.927625
PCDH20	8.0876
KCNK9	0.462
OR2C1	0.0436666666666667
KLHDC3	0.64425
IPPK	0.496666666666667
EFHD2	-0.6843
GALR3	-0.4114
NBEA	3.197125
ABCA6	1.62938461538462
CLDN3	-3.481
AKT2	-1.50852631578947
EGFR	3.06407142857143
RBM16	0.1434
ZDHHC3	-0.403461538461538
SLC25A4	1.416875
CYB5B	0.395875
CPXM1	0.905
NDRG1	-0.643375
FLJ43826	0.6468
OR5L2	0.0565
FARP2	-0.255307692307692
MRPL46	-0.213
LDHAL6B	0.4025
MAPKAPK3	-1.600625
NCAM2	3.4112
PRKD2	-1.34575
ZFP36L1	0.406230769230769
CYSLTR1	-1.6076
OR4C3	0.373
HIST1H2AJ	-2.31266666666667
CCNB2	-4.74836363636364
ZNF10	0.7519
TMEM175	0.452666666666667
FAM134A	2.18875
TIGD4	0.28
PCNP	0.756
MGC39715	3.206
LQK1	-3.1506
CREB1	0.870923076923077
TMPRSS3	-2.74466666666667
C4orf32	-2.8182
LAT	-2.56033333333333
KCNA3	-0.550333333333333
SKIV2L2	-0.1742
ROPN1B	-3.3108
tcag7.23	-0.541
CDT1	-2.5768
ZHX2	2.22536363636364
CD28	-6.6928
ZNF624	1.859
SEPT2	1.23233333333333
SOHLH2	1.30418181818182
MCOLN3	-1.29136363636364
UNQ1945	0.00733333333333333
MASP2	-0.790666666666667
ZNRF3	1.06653846153846
GPATCH3	-0.1944
AGL	-0.358636363636364
QRICH2	0.0616666666666667
PSD4	-1.9445
