Hybridization REF	TCGA-CS-5390-01A-02R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.192
CREB3L1	-0.334833333333333
RPS11	0.5462
PNMA1	3.2412
MMP2	-0.724375
C10orf90	0.6384
ZHX3	1.208375
ERCC5	0.3534
GPR98	1.21327272727273
RXFP3	0.076
APBB2	1.685
PRO0478	-0.447727272727273
KLHL13	1.7428
PRSSL1	-1.13475
PDCL3	0.226625
DECR1	0.3614
SALL1	0.623375
CADM4	2.008875
RPS18	0.0633684210526316
HNRPD	0.541533333333333
CFHR5	0.111428571428571
SLC10A7	0.423636363636364
OR2K2	0.791
LMAN1	-2.07
SUHW1	-2.8806
CHD8	-0.189307692307692
SUMO1	0.161153846153846
GP1BA	0.229076923076923
DDB1	-0.14375
MYO9B	0.015
MMP7	-1.3204
CRNKL1	0.1173
C9orf45	0.022625
XAB2	0.606
RTN1	4.2994
KLHL14	-1.2403
TBX10	-1.01566666666667
CENPQ	0.196
UTY	-1.183
ZBTB12	0.193666666666667
DTNBP1	-1.0245
KBTBD8	-0.581625
ZEB1	3.7615
ZG16	-1.4258
MIER1	-0.635923076923077
ADAM5P	0.146333333333333
CHD9	0.940666666666667
STK16	-0.2018
KIAA1486	1.00533333333333
TOB2	0.8959375
BANK1	0.9632
OR2V2	0.4342
GRM2	0.343
PROSC	1.2179
SPIN2B	1.355
PIR	-2.107
IPO9	0.0783571428571428
EVC	-1.914625
CXCL13	2.96025
KIAA1199	-0.100923076923077
SORL1	1.6728
NAT10	-0.533
CHD1	-1.1548
SYN3	1.2852
SLC22A2	-0.411
SERPINF1	-3.0425
WDR34	-1.61
OR7A17	0.3552
C9orf11	0.294666666666667
RNF216L	-0.391083333333333
LHB	-0.16
STK25	0.489
TAOK3	2.3653
LOC152573	-0.693
C3orf39	2.0889
C14orf108	0.764923076923077
CDC25B	-0.637
BMP3	0.661333333333333
TMEM180	0.470666666666667
MAP1LC3C	0.4154
CRYGC	-0.581666666666667
POU3F1	0.150692307692308
C20orf32	-1.136
CCDC95	-0.299
HIGD1B	5.4028
USP6NL	-0.316
ABCD4	0.404375
DIMT1L	0.4254375
TEK	1.59718181818182
SLC25A46	0.0036
LARP7	-1.246
CD160	0.083375
MT1JP	0.449714285714286
PHF20	-0.0109047619047619
CPNE4	2.6464
GTPBP1	0.126947368421053
RAB33B	0.509
ALDOC	2.26090909090909
ZNF212	-0.119
NUDT1	-0.654875
RFPL2	2.50483333333333
ZNF83	-0.561625
GDPD5	-1.4627
PDCD4	1.11238461538462
CEP350	-0.096
OR10A2	0.2596
CST7	-1.5294
CIAO1	-1.3194
SELL	1.79390909090909
OR8J3	0.125
LTBP4	-0.409875
SIRT6	0.0452
CCL19	3.3556
PPIL1	-0.050875
GBP7	0.6815
STK17A	0.380076923076923
ABR	2.5394
OR9G1	-0.168
FOXE1	-0.436444444444444
CNGA3	2.74566666666667
GML	0.368
CD38	-1.4552
ZDHHC6	-0.187875
NEFH	0.2296
CTDSP2	0.4383125
PGBD5	2.66177777777778
CCNY	0.694777777777778
RMND5B	0.527
ZNF257	-2.3746
FLJ22167	1.1345
EXOSC7	-0.04125
ROR2	-0.9515
MAOA	0.858272727272727
TNNT3	-0.31475
GYPC	-1.94183333333333
C7orf33	0.00866666666666667
PLIN	0.298875
LOC90826	0.0642
RNF4	-0.108384615384615
F8A1	0.197
PLEKHG4	-3.9076
GRB2	0.157925925925926
HIST1H2AD	-2.3372
DUS3L	0.438125
EIF1	-0.020375
RP5-1077B9.4	-1.11911111111111
FPGT	-0.5164
GDF10	1.897875
COQ9	0.3208
GCC2	-0.422055555555555
RARRES3	0.678727272727273
PLXNA1	-0.0535714285714286
KIAA0100	-0.317428571428571
PMF1	-0.0544
FNDC1	0.6406
HS2ST1	-0.7255
CRELD2	-0.1866
C8G	-1.958
CD82	1.5906
LIM2	-1.104
UNQ6490	0.573333333333333
MMP16	1.56833333333333
DRD3	-0.0961666666666667
C5orf26	1.6186
C11orf73	0.1596
PTP4A2	-1.0377
OR4M2	0.513666666666667
HPCA	-0.68475
SEC14L1	1.167
CHFR	-0.598454545454545
EMILIN1	-0.0875
NDUFS4	-0.0014
COL18A1	-1.9124
PDZD3	-0.0523076923076923
C9orf16	-0.115
ERBB2IP	-0.165571428571429
EMX2	5.217
FUS	0.374
TF	0.317076923076923
CLCN4	2.54075
CXorf56	0.0706
C11orf72	0.0995
ELAC2	-0.160066666666667
NPR1	-1.0256
ASS1	-3.53511111111111
USP42	-0.0676
POLR2J	-0.547333333333333
SEC23IP	-0.359375
UQCRC1	0.0188
LOC729603	-0.2794
C1orf71	-0.2611
POLG	-1.8705
ADAM23	-1.33666666666667
TFR2	-1.0242
RICTOR	0.364615384615385
MGC39606	2.5896
C19orf55	-0.697727272727273
SNAPC1	-1.208875
GNA11	1.39918181818182
CCDC52	-1.42725
FSIP1	-0.411333333333333
UPF3A	0.5387
IGSF11	1.58025
LAGE3	-0.3288
CHST6	1.35866666666667
UNC13B	0.655636363636364
TTLL4	-0.651272727272727
ZNF687	0.9807
SDC2	-1.92507142857143
COX7A2	0.029
LAMB4	-0.1108
FAM24A	0.7
LRRTM3	3.483625
GPHB5	0.1464
OR4C13	0.122666666666667
EIF3EIP	1.14
HABP4	2.56566666666667
TMEM125	3.2368
CNTN2	4.03090909090909
ASNSD1	0.7148
FUT4	-1.4532
ACF	-3.5884
LOC158381	0.1265
CDH8	1.3132
AGPS	-1.17625
C4orf18	0.872818181818182
PECI	-0.189928571428571
UNG	-0.451181818181818
GSTP1	-0.331363636363636
DCUN1D5	-1.293625
DKFZP564J0863	-3.5886
SLC9A3R1	-1.09127272727273
BCDO2	0.264272727272727
CHMP7	0.602
REM2	0.249666666666667
DNHD1	-0.4709
FKBP4	-1.367
ZNF350	1.0784
MGC11102	-0.445090909090909
BST1	-0.488
KISS1R	-0.131666666666667
NCR2	-0.122666666666667
DEFB125	-0.192333333333333
UBE2W	0.212181818181818
KRT15	-4.34
C10orf99	-0.0353333333333333
SCN11A	0.361181818181818
GFI1	-3.4134
RDHE2	0.283875
FHL1	2.693125
OSGEP	-0.158
GATA1	-4.100625
SMC6	-1.1614
TTTY14	-1.41483333333333
LPIN3	0.22
RPL4	1.31564285714286
RBPMS	-2.78892857142857
PRPF3	-0.517625
EMR1	-3.1685
SPATA19	0.3656
XCR1	-0.136
IRX3	-1.14907692307692
RBM6	0.238
KLF4	-1.07746153846154
UNC5CL	-0.9744
SEBOX	0.286
BTK	-1.4658
KRCC1	1.0488
C6orf27	0.117
SYTL5	0.140666666666667
PRND	0.404090909090909
LOC653319	0.409666666666667
PIGL	-2.26918181818182
HUS1	-0.554125
SFRS6	-0.539125
C17orf77	0.632666666666667
UIMC1	-0.055125
FXYD2	-1.53607692307692
LOC283152	-0.2582
ZNF667	0.8382
ZCCHC12	1.8682
TFEC	1.14830769230769
ATP7B	-0.76775
POLD2	-0.52775
RG9MTD1	0.1998
ACOT2	-1.14975
HIST1H4I	-1.69590909090909
PPARGC1A	0.745615384615385
ETFA	-0.93
POLRMT	-0.2172
ZNF146	-0.0344545454545455
MIA2	-1.66233333333333
KLHL6	-0.946625
HOXB5	-1.99945454545455
NENF	0.20225
CUGBP1	-0.802
PRSS22	-1.222125
CASC4	0.916
CUL4B	-0.118923076923077
CENPJ	-0.611857142857143
PITX1	-3.08675
FLJ31033	-0.414857142857143
CELSR3	2.169
ZNF568	0.9572
ITSN1	0.203133333333333
EHBP1L1	-2.68175
C19orf2	-0.5772
DCTN1	0.9792
LIN28B	-3.66525
TNKS2	1.275
C1QBP	-0.0585
CADPS2	-0.438
SRMS	-0.354
GJA9	1.179125
MGC24975	0.38875
TRIM45	-1.767625
TSP50	-0.027
TCP1	-0.4104
TMED7	0.129666666666667
CMA1	-0.017
CENPL	-0.7925
PTCRA	-0.0663333333333333
FST	-5.271
VWCE	-0.7916
PAWR	-4.9682
ABCC12	0.836375
LDLR	-1.12407692307692
ASTN2	2.20414285714286
LOC441212	0.0791818181818181
GPATCH8	0.161833333333333
TANC2	-0.0103125
KIF4A	-2.5422
C18orf18	1.309
PGM1	-0.653
KIAA0258	0.4054
CPD	-0.5488
SNCAIP	1.6566
DCT	-3.82733333333333
HLA-DOA	1.16316129032258
OR11L1	0.353333333333333
UPK1B	-0.2415
DNAJB4	0.5346
UGT1A8	-0.7144
HIST1H4L	-0.359666666666667
PECR	-0.856125
HSPA2	3.188
WFIKKN1	-1.713
SERP1	0.8752
SYDE2	-1.64666666666667
TACR2	-0.0293333333333333
NUP85	-1.3684
CD177	-0.364777777777778
LGR5	-0.212375
PIGG	-0.6720625
PTHR1	0.9335
RAB5A	1.69723076923077
FLJ13224	0.235666666666667
USP9Y	-1.0445
C7orf53	-1.651
LRP1B	4.984
XAF1	0.176866666666667
ABCG8	0.204
ANKDD1A	0.0554999999999999
DAND5	-0.145333333333333
SPAG6	1.055
LINCR	0.86
ZDHHC22	4.0323
CCDC60	0.251
THOC7	-1.339625
TCTA	1.354
OR8K3	0.1868
NY-REN-7	-0.4345
B2M	0.06675
C6orf141	-3.3385
LPPR4	4.99
SQLE	-0.951636363636364
SEPHS1	-0.47
BTBD14B	0.0135
PLRG1	-0.3652
SPG7	0.191380952380952
ZNF614	-0.519444444444444
PARD6G	-0.659875
INPP5B	-0.890230769230769
GRPEL2	0.089
PPID	-0.985461538461538
TRIM56	-1.1036
UBE2J1	-0.680181818181818
IL20RA	1.1798
LOC387856	2.123
C1orf107	0.33825
UTS2R	-0.2302
C19orf22	-0.2998
SAFB2	0.3424
KIAA0652	1.1923
KLRG1	0.14575
MS4A8B	0.564
FRAG1	-0.1076
KIAA1546	0.8152
E2F4	-1.06923076923077
CLEC4M	0.0967777777777778
BTBD14A	-0.6252
KIAA0999	2.03569230769231
GYPA	-3.62175
TAC1	2.77457142857143
TRAIP	-1.20825
KIAA0232	1.20369230769231
ERCC8	-0.4322
GPX4	-0.226272727272727
KIAA0368	0.4771
GPR157	-1.926125
CTAGE4	-1.589
C9orf30	-0.53475
OR52A1	0.025
HSP90B3P	-0.765
ALG9	-0.000846153846153847
BTBD10	0.876
SDK2	0.236166666666667
BAIAP3	1.3596
RABGGTB	-0.3014
ANKRD40	0.555125
KRT74	0.937666666666667
CALCOCO2	0.119833333333333
SNCA	-0.2142
TMSL8	-0.868818181818182
C2orf53	-0.298
ESRRB	0.0456
ARHGAP26	-0.9105
TDRD9	0.1706
HRAS	0.39575
KLRC4	1.9415
JAGN1	-0.03
BSDC1	0.225
RNF43	-2.23607692307692
NDUFAF1	1.2238
PHF12	0.263
OR1L3	0.4268
FOLR2	2.17933333333333
LYZL6	-0.194714285714286
tcag7.1260	-0.24
WSB1	-0.65075
PROS1	-0.291538461538462
OSTN	0.245
PSMB8	-0.6992
SOCS4	0.417909090909091
DDIT4L	-0.8502
MAS1	0.317333333333333
MGC34796	-0.305
CSHL1	-0.0345
TBCCD1	-0.1745
ZBTB7C	0.617333333333333
AP2S1	-1.65327272727273
P15RS	1.41276923076923
VAT1	-0.684615384615385
SHANK3	1.5065
TUFM	-0.31025
THEG	-0.6872
KRT34	-1.3632
SGSM3	-0.000800000000000001
TOMM22	0.0961
SOCS3	-1.919625
CPO	0.0103333333333333
POP4	-0.7694
BHLHB3	1.1336
MALL	-0.5215
OR1B1	0.244
PARK2	0.859111111111111
GPR124	-0.3653
LCE1E	0.849333333333333
RUVBL2	-0.9166
CGRRF1	1.47107692307692
ACPL2	0.9962
WNT10B	-0.466636363636364
BAIAP2L2	-2.05945454545455
ISCA1	1.192
C1orf125	-0.3077
RPAP1	0.0808
RAI16	0.5505
RPL27	-0.198545454545455
NLRP9	0.485333333333333
EPN1	0.00533333333333333
LOC388610	0.4223
SLC35A1	0.446769230769231
GAL	-5.0486
SLC14A2	0.329333333333333
RDH11	0.42475
FAM138F	-0.52
AUH	0.148
FLJ40243	0.3044
C14orf129	0.290625
MBD2	-1.733875
ABHD14B	-1.1233
PIGT	-1.00936363636364
ALS2CR4	0.234181818181818
ALAS1	-0.231461538461538
FOXO1	0.917875
CRLF3	-1.19209090909091
C20orf107	0.148
FARS2	0.6702
CCDC28A	-0.2962
NPHP3	-1.9312
OR13F1	0.522666666666667
TSEN54	-1.3008
DEFB106B	0.0113846153846154
OR8B4	0.319333333333333
STH	1.9982
ZC3H14	-0.1429
CBX2	0.127
TMEM49	-1.4454
C6orf21	0.373
FLJ20920	-1.60990909090909
CRTAP	-0.283052631578947
DDX50	0.035
STYXL1	-0.1578
BLVRB	-2.02475
LOC147650	-0.94425
MMP24	0.538666666666667
GRID1	4.4255
BANF1	-0.231375
CTAGEP	-1.61
HMBS	-1.6254
SLC25A24	-3.92425
C14orf50	0.1136
MRO	2.71425
SLC25A15	-0.4868
FAM84B	3.28464285714286
TDP1	-1.36933333333333
C16orf78	0.00399999999999998
C11orf57	0.4838
RFK	-0.3895
ZFYVE9	-0.566545454545455
STCH	0.962153846153846
WIBG	-0.2838
LOC283871	-0.331375
GBA2	0.123571428571429
NDUFB3	-0.638
HSD17B13	-0.3505
GRIN3A	4.28775
FMNL1	-2.133125
SEPT7	1.15161538461538
GNLY	1.43033333333333
GRAMD1C	1.30375
ZNF165	-2.3112
USP38	0.7324
FAM83A	-3.544375
C14orf24	1.28175
ARMCX3	1.6674
ARHGDIB	-1.431125
AK1	0.858909090909091
KIAA1045	3.6682
DNAJB13	-0.179875
NEU2	0.269666666666667
HIST1H4B	-0.93475
FAM20B	-0.817846153846154
HES2	-0.589736842105263
FAM73B	-0.233923076923077
LOC388381	0.6618
INTS7	-0.16
AMPH	3.23083333333333
ZNF775	0.5283
UCKL1	-0.803
C10orf97	0.7666
C1orf161	-0.4242
ALDH1L1	2.2402
FLJ39378	0.840636363636364
SLC23A1	-2.048
RBM4B	1.512
THAP4	-0.086875
OGFRL1	-0.0988
KIAA0831	0.470363636363636
PPP1R15A	-0.983125
C1orf96	0.974
C12orf11	-1.3168
BMF	-0.372181818181818
MAN1A1	-2.34318181818182
KIAA1600	0.500875
NLGN4X	4.1204
ALOX12	-0.480875
RB1CC1	0.507
NEIL2	1.67823076923077
EIF4E	0.242551724137931
ABHD5	-0.5288
EXOC4	0.246
CIP29	0.51225
BATF2	1.2832
SLC29A4	0.223909090909091
HTR4	3.17083333333333
EMB	-3.7708
TRAF6	-0.1846
LMNB1	-3.7436
FAM19A5	1.46163636363636
SHE	1.4778
PIK3C2B	1.6096
C15orf15	0.731571428571429
USP15	-0.232461538461538
TCEAL2	5.7432
C5orf39	-0.83
PTGER2	-2.5676
SLC31A1	-0.707761904761905
IFT172	0.384
ADAM29	0.2532
GFOD1	1.825
ST7L	0.193875
C15orf26	-2.58275
PKN3	-1.5696
CNTD1	1.136125
COMMD1	-0.4509
NTRK2	5.1249375
FOXN3	0.857818181818182
MFGE8	-0.290769230769231
PFKFB2	0.809375
TAS2R4	0.1064
ENTHD1	-0.081125
PRMT5	0.3341
MGC16384	-1.28881818181818
LOC442229	-1.6118
TSKU	-0.839454545454545
KRTCAP3	-3.49554545454546
PDLIM1	-1.93253846153846
KCNS2	0.332166666666667
RNF126	0.022125
CEP63	0.0402
CLIC4	0.1093
hCG_1990170	1.4808
ACR	0.719076923076923
KLK7	0.4066
ALOX5AP	0.0431818181818182
RIPK3	0.945
TAS2R9	0.415333333333333
C19orf18	0.588666666666667
BIRC6	0.0336315789473684
ZNF16	1.06966666666667
RFT1	-1.0688
SLC8A2	1.482
TACC1	1.00354545454545
ITGAD	0.536666666666667
SAMHD1	1.29416666666667
SH3PXD2B	0.428384615384615
EPC2	2.1288
C20orf85	0.4799
ATP13A2	-0.071625
KRT4	0.0757272727272727
CAPNS1	-0.955
MDM2	-0.8246875
PCDH20	3.1904
KCNK9	0.458
OR2C1	0.329
KLHDC3	0.62875
IPPK	0.192666666666667
EFHD2	-0.2402
GALR3	-0.26
NBEA	3.057875
ABCA6	1.23023076923077
CLDN3	-3.546875
AKT2	-0.140631578947368
EGFR	3.04707142857143
RBM16	0.2793
ZDHHC3	-0.346692307692308
SLC25A4	1.6755
CYB5B	0.21475
CPXM1	1.8958
NDRG1	-0.983
FLJ43826	0.9252
OR5L2	0.316375
FARP2	0.334461538461539
MRPL46	0.2985625
LDHAL6B	0.4485
MAPKAPK3	-0.840375
NCAM2	2.149
PRKD2	-1.810375
ZFP36L1	-1.04861538461538
CYSLTR1	-1.5062
OR4C3	0.474
HIST1H2AJ	-2.32
CCNB2	-3.729
ZNF10	0.6887
TMEM175	0.432333333333333
FAM134A	2.147
TIGD4	-0.272333333333333
PCNP	0.5396
MGC39715	2.28816666666667
LQK1	-0.962
CREB1	0.905846153846154
TMPRSS3	-2.55916666666667
C4orf32	-2.5563
LAT	-2.74546666666667
KCNA3	-0.640333333333333
SKIV2L2	0.0076
ROPN1B	-4.4082
tcag7.23	-0.3305
CDT1	-2.2239
ZHX2	2.32154545454545
CD28	-5.7138
ZNF624	1.6306
SEPT2	1.26173333333333
SOHLH2	-0.825818181818182
MCOLN3	-0.9651
UNQ1945	0.054
MASP2	-1.619
ZNRF3	0.696461538461538
GPATCH3	-0.2068
AGL	-0.394545454545455
QRICH2	0.394666666666667
PSD4	-2.10475
CCNB1IP1	0.181
ENPP7	0.0334
OBFC1	-0.7472
KCNG3	-1.411
C14orf79	0.0801333333333333
ENPEP	0.130875
SCT	0.100333333333333
SKI	0.352818181818182
SEC61G	-2.1728
CAPN11	0.0508
ATXN7L3	-0.1718
DBNDD1	-0.13125
FAIM	-1.0894
ANKRD36	-1.342
GABRP	-0.5635
TACSTD2	-3.94875
EIF3J	-0.168
PPP2R2A	-0.0584
TEKT4	0.151125
PVALB	-1.786875
F10	-3.494
