Hybridization REF	TCGA-DB-5275-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.363375
CREB3L1	-1.1465
RPS11	-0.3006
PNMA1	3.0824
MMP2	-1.387375
C10orf90	0.1576
ZHX3	1.888125
ERCC5	0.9742
GPR98	1.84291666666667
RXFP3	0.434666666666667
APBB2	0.8612
PRO0478	-0.155272727272727
KLHL13	1.3416
PRSSL1	-0.975625
PDCL3	-0.071625
DECR1	0.3439
SALL1	2.490125
CADM4	1.419875
RPS18	-1.11936842105263
HNRPD	-0.310933333333333
CFHR5	-0.122285714285714
SLC10A7	0.777090909090909
OR2K2	0.211
LMAN1	-2.58445454545455
SUHW1	-2.4822
CHD8	0.615769230769231
SUMO1	0.230538461538462
GP1BA	0.543384615384615
DDB1	0.2305
MYO9B	-0.0658571428571429
MMP7	1.5332
CRNKL1	-0.1363
C9orf45	-0.187
XAB2	0.3558
RTN1	4.4634
KLHL14	-1.4493
TBX10	-1.075
CENPQ	-0.7192
UTY	1.63084210526316
ZBTB12	0.189333333333333
DTNBP1	-0.4488
KBTBD8	-0.3095
ZEB1	4.16325
ZG16	-1.427
MIER1	0.240076923076923
ADAM5P	0.326333333333333
CHD9	0.844571428571428
STK16	0.138
KIAA1486	0.464333333333333
TOB2	1.6530625
BANK1	0.4972
OR2V2	0.3296
GRM2	0.266875
PROSC	0.8008
SPIN2B	0.2434
PIR	-2.68781818181818
IPO9	0.159428571428571
EVC	-1.414375
CXCL13	1.486
KIAA1199	-0.862461538461539
SORL1	3.1674
NAT10	-0.4134
CHD1	-1.0186
SYN3	2.249
SLC22A2	-0.399
SERPINF1	-3.488125
WDR34	-1.4758
OR7A17	0.2632
C9orf11	0.639333333333333
RNF216L	0.102
LHB	0.0586666666666667
STK25	0.7242
TAOK3	2.8785
LOC152573	-0.8722
C3orf39	1.7506
C14orf108	0.404461538461538
CDC25B	-0.3925
BMP3	0.367333333333333
TMEM180	0.466333333333333
MAP1LC3C	-0.1436
CRYGC	-0.515666666666667
POU3F1	0.928769230769231
C20orf32	-0.800333333333333
CCDC95	0.241
HIGD1B	4.3804
USP6NL	-0.4645
ABCD4	0.865375
DIMT1L	0.4045625
TEK	2.35872727272727
SLC25A46	-0.6282
LARP7	-1.28114285714286
CD160	-0.09475
MT1JP	0.932571428571428
PHF20	-0.133666666666667
CPNE4	0.5272
GTPBP1	-0.00642105263157893
RAB33B	-0.19675
ALDOC	4.03318181818182
ZNF212	0.4258
NUDT1	-0.488625
RFPL2	0.0661666666666667
ZNF83	-0.42425
GDPD5	-1.4117
PDCD4	0.533192307692308
CEP350	0.799
OR10A2	-0.0778
CST7	-0.986
CIAO1	-1.5718
SELL	2.71563636363636
OR8J3	0.503666666666667
LTBP4	-0.367625
SIRT6	0.4652
CCL19	2.5926
PPIL1	0.16225
GBP7	2.677375
STK17A	0.0519230769230771
ABR	2.3664
OR9G1	-0.7825
FOXE1	0.3272
CNGA3	3.679
GML	-0.0266666666666667
CD38	-0.424
ZDHHC6	0.08775
NEFH	-0.1152
CTDSP2	0.40075
PGBD5	2.04111111111111
CCNY	0.976333333333333
RMND5B	0.441625
ZNF257	-3.12
FLJ22167	1.0323
EXOSC7	-0.659125
ROR2	-1.3118
MAOA	2.09490909090909
TNNT3	-0.192
GYPC	-1.3475
C7orf33	0.0503333333333333
PLIN	0.962125
LOC90826	-0.4142
RNF4	0.123769230769231
F8A1	0.593125
PLEKHG4	-2.7114
GRB2	0.436851851851852
HIST1H2AD	-1.8314
DUS3L	-0.138875
EIF1	-0.057
RP5-1077B9.4	0.334888888888889
FPGT	0.3808
GDF10	4.486
COQ9	0.2994
GCC2	0.0308888888888889
RARRES3	1.51136363636364
PLXNA1	-0.172428571428571
KIAA0100	0.241285714285714
PMF1	-0.4556
FNDC1	0.611
HS2ST1	0.011375
CRELD2	0.2528
C8G	-1.389
CD82	0.824
LIM2	-1.098
UNQ6490	0.295666666666667
MMP16	1.32916666666667
DRD3	-0.0435
C5orf26	0.4948
C11orf73	0.318
PTP4A2	-0.0994
OR4M2	0.333666666666667
HPCA	-0.595
SEC14L1	0.223375
CHFR	-0.232545454545455
EMILIN1	-0.2604
NDUFS4	-0.1842
COL18A1	-1.7977
PDZD3	0.0448461538461538
C9orf16	-0.321625
ERBB2IP	1.21028571428571
EMX2	4.98
FUS	-0.151
TF	-0.976923076923077
CLCN4	1.940625
CXorf56	0.6038
C11orf72	0.204333333333333
ELAC2	0.0816
NPR1	-1.5972
ASS1	-3.54311111111111
USP42	0.7236
POLR2J	-0.431333333333333
SEC23IP	-0.023
UQCRC1	-0.4438
LOC729603	-0.852
C1orf71	-0.4221
POLG	-2.692
ADAM23	-1.1635
TFR2	-1.0804
RICTOR	-0.368769230769231
MGC39606	2.1554
C19orf55	-0.585909090909091
SNAPC1	-1.253375
GNA11	1.30554545454545
CCDC52	-0.993
FSIP1	-0.629
UPF3A	1.0665
IGSF11	1.955
LAGE3	-0.401
CHST6	0.734666666666667
UNC13B	0.0740909090909091
TTLL4	-0.0425454545454545
ZNF687	0.6295
SDC2	-0.613428571428571
COX7A2	-0.0694
LAMB4	0.1182
FAM24A	0.256666666666667
LRRTM3	3.388125
GPHB5	-0.3906
OR4C13	0.069
EIF3EIP	0.555444444444445
HABP4	2.28966666666667
TMEM125	-0.992
CNTN2	2.10018181818182
ASNSD1	0.7488
FUT4	-0.1075
ACF	-2.8886
LOC158381	0.1945
CDH8	1.1834
AGPS	-1.051
C4orf18	2.35490909090909
PECI	0.0877857142857143
UNG	-0.490909090909091
GSTP1	-0.596545454545455
DCUN1D5	-1.46225
DKFZP564J0863	-2.6284
SLC9A3R1	-1.75472727272727
BCDO2	0.496272727272727
CHMP7	0.6377
REM2	0.315333333333333
DNHD1	0.2299
FKBP4	-0.954909090909091
ZNF350	1.0364
MGC11102	-0.145363636363636
BST1	-0.2812
KISS1R	-0.380666666666667
NCR2	-0.0396666666666667
DEFB125	0.0155
UBE2W	-0.00181818181818182
KRT15	-4.20018181818182
C10orf99	0.131
SCN11A	0.410545454545455
GFI1	-3.5248
RDHE2	-0.482375
FHL1	2.8585
OSGEP	0.599375
GATA1	-3.93025
SMC6	-0.9866
TTTY14	1.74466666666667
LPIN3	0.5536
RPL4	0.165571428571429
RBPMS	-2.58992857142857
PRPF3	0.006125
EMR1	-2.025
SPATA19	0.3012
XCR1	-0.0896666666666667
IRX3	-2.01784615384615
RBM6	0.6012
KLF4	-0.615846153846154
UNC5CL	0.5808
SEBOX	0.259666666666667
BTK	-0.4432
KRCC1	1.3618
C6orf27	0.425666666666667
SYTL5	-0.489
PRND	0.0915454545454546
LOC653319	0.996
PIGL	-1.86927272727273
HUS1	-1.269625
SFRS6	-1.5381875
C17orf77	0.408333333333333
UIMC1	0.207
FXYD2	-1.77323076923077
LOC283152	-0.9102
ZNF667	1.1024
ZCCHC12	1.9756
TFEC	1.26976923076923
ATP7B	-0.983875
POLD2	-0.996
RG9MTD1	-0.2912
ACOT2	0.475125
HIST1H4I	-0.794272727272727
PPARGC1A	0.646153846153846
ETFA	-1.41128571428571
POLRMT	-0.12
ZNF146	0.417272727272727
MIA2	-1.93933333333333
KLHL6	0.0995
HOXB5	-2.05118181818182
NENF	-0.111125
CUGBP1	-0.069
PRSS22	-1.293875
CASC4	1.39730769230769
CUL4B	0.00369230769230777
CENPJ	-1.53771428571429
PITX1	-2.339375
FLJ31033	-0.442571428571429
CELSR3	1.50325
ZNF568	1.059
ITSN1	0.8476
EHBP1L1	-1.49875
C19orf2	0.12
DCTN1	0.6098
LIN28B	-4.0545
TNKS2	1.7592
C1QBP	-0.4495
CADPS2	0.3642
SRMS	-0.059
GJA9	0.246875
MGC24975	0.771
TRIM45	-0.871
TSP50	0.8838
TCP1	-0.6028
TMED7	-0.289333333333333
CMA1	0.185333333333333
CENPL	-1.284875
PTCRA	-0.119666666666667
FST	-4.6324
VWCE	-0.8702
PAWR	-4.3854
ABCC12	0.46525
LDLR	-2.45630769230769
ASTN2	2.75078571428571
LOC441212	0.322
GPATCH8	0.160666666666667
TANC2	0.5340625
KIF4A	-3.2208
C18orf18	1.3706
PGM1	-0.3544
KIAA0258	-1.0298
CPD	-1.1805
SNCAIP	3.665
DCT	-3.83577777777778
HLA-DOA	1.32435483870968
OR11L1	0.27
UPK1B	-0.027875
DNAJB4	1.2864
UGT1A8	-0.0842
HIST1H4L	0.0206666666666667
PECR	-1.530375
HSPA2	2.8658
WFIKKN1	0.508333333333333
SERP1	0.0649
SYDE2	-0.809
TACR2	0.258333333333333
NUP85	-0.7036
CD177	-0.298444444444445
LGR5	-0.1505
PIGG	-0.2798125
PTHR1	0.308
RAB5A	1.124
FLJ13224	0.300666666666667
USP9Y	1.4245
C7orf53	0.254666666666667
LRP1B	5.8918
XAF1	-0.3176
ABCG8	-0.257666666666667
ANKDD1A	0.66025
DAND5	1.00366666666667
SPAG6	0.277625
LINCR	2.5474
ZDHHC22	3.4612
CCDC60	-0.0595
THOC7	-2.203625
TCTA	0.998769230769231
OR8K3	-0.111
NY-REN-7	-0.159
B2M	0.441125
C6orf141	-3.0932
LPPR4	5.619
SQLE	-2.08327272727273
SEPHS1	-0.1012
BTBD14B	0.421166666666667
PLRG1	-0.7508
SPG7	0.29352380952381
ZNF614	-0.375222222222222
PARD6G	-0.733125
INPP5B	-0.513692307692308
GRPEL2	-1.4963
PPID	-1.07353846153846
TRIM56	-1.6582
UBE2J1	-0.256636363636364
IL20RA	0.1072
LOC387856	2.0432
C1orf107	-0.5045
UTS2R	-0.2824
C19orf22	-0.0192
SAFB2	1.3337
KIAA0652	1.1616
KLRG1	0.701375
MS4A8B	-0.19525
FRAG1	-0.8544
KIAA1546	0.7688
E2F4	-0.929
CLEC4M	0.149555555555556
BTBD14A	-0.9316
KIAA0999	1.29853846153846
GYPA	-3.32675
TAC1	3.936
TRAIP	-1.857375
KIAA0232	1.53423076923077
ERCC8	-1.0098
GPX4	0.242
KIAA0368	0.7886
GPR157	-1.895625
CTAGE4	-1.365
C9orf30	-0.717625
OR52A1	0.0346666666666667
HSP90B3P	-0.5745
ALG9	-0.553923076923077
BTBD10	1.0076
SDK2	0.156833333333333
BAIAP3	0.779
RABGGTB	-0.1583
ANKRD40	-0.1945
KRT74	1.59833333333333
CALCOCO2	0.772777777777778
SNCA	-2.0876
TMSL8	-1.03972727272727
C2orf53	-0.034
ESRRB	-0.2136
ARHGAP26	-0.6122
TDRD9	1.5954
HRAS	-0.0015
KLRC4	1.7315
JAGN1	-0.424625
BSDC1	1.656
RNF43	-2.23907692307692
NDUFAF1	0.576
PHF12	0.259166666666667
OR1L3	-0.0178
FOLR2	2.11753333333333
LYZL6	0.014
tcag7.1260	-0.692333333333333
WSB1	0.163375
PROS1	-1.00792307692308
OSTN	0.79
PSMB8	-0.5272
SOCS4	0.203636363636364
DDIT4L	-0.4682
MAS1	-0.326333333333333
MGC34796	-0.0874
CSHL1	0.017
TBCCD1	0.305375
ZBTB7C	0.499333333333333
AP2S1	-1.74027272727273
P15RS	0.478076923076923
VAT1	-0.535307692307692
SHANK3	1.053375
TUFM	0.270625
THEG	0.5388
KRT34	-1.2444
SGSM3	-0.0629
TOMM22	-0.1927
SOCS3	1.473125
CPO	0.901666666666667
POP4	-0.1558
BHLHB3	2.6882
MALL	-0.954833333333333
OR1B1	0.0226666666666667
PARK2	0.856333333333333
GPR124	-0.9416
LCE1E	0.196
RUVBL2	-1.2752
CGRRF1	1.27038461538462
ACPL2	1.2958
WNT10B	-1.04745454545455
BAIAP2L2	-1.40463636363636
ISCA1	1.154
C1orf125	0.173272727272727
RPAP1	0.19
RAI16	-0.1875
RPL27	-0.434363636363636
NLRP9	0.098
EPN1	0.0163333333333333
LOC388610	0.1118
SLC35A1	0.166230769230769
GAL	-4.5194
SLC14A2	0.2265
RDH11	0.615875
FAM138F	-0.567666666666667
AUH	-0.3848
FLJ40243	-0.0344
C14orf129	-0.509125
MBD2	-1.69925
ABHD14B	-1.2574
PIGT	-1.02509090909091
ALS2CR4	0.0368181818181818
ALAS1	0.131307692307692
FOXO1	1.714875
CRLF3	-1.44963636363636
C20orf107	0.115
FARS2	0.4564
CCDC28A	-0.004
NPHP3	-1.0288
OR13F1	0.656
TSEN54	-0.9454
DEFB106B	0.119153846153846
OR8B4	0.390666666666667
STH	2.8666
ZC3H14	-0.4081
CBX2	-0.258
TMEM49	-1.674
C6orf21	0.419666666666667
FLJ20920	-1.237
CRTAP	-0.126684210526316
DDX50	0.307
STYXL1	0.1694
BLVRB	-1.07875
LOC147650	0.58
MMP24	0.331166666666667
GRID1	4.408625
BANF1	0.02175
CTAGEP	-0.8746
HMBS	-1.8194
SLC25A24	-3.86475
C14orf50	0.0102
MRO	2.665
SLC25A15	-1.7396
FAM84B	1.46864285714286
TDP1	-1.52733333333333
C16orf78	-0.081625
C11orf57	0.375
RFK	-0.5617
ZFYVE9	0.0477272727272727
STCH	0.209615384615385
WIBG	-0.2618
LOC283871	-0.5765
GBA2	0.197
NDUFB3	-0.3886
HSD17B13	0.107
GRIN3A	3.486625
FMNL1	-1.4965
SEPT7	1.65061538461538
GNLY	1.29166666666667
GRAMD1C	0.429375
ZNF165	-2.2976
USP38	0.0088
FAM83A	-3.140375
C14orf24	0.651125
ARMCX3	1.3859
ARHGDIB	-1.214125
AK1	1.22381818181818
KIAA1045	2.6666
DNAJB13	0.080875
NEU2	0.499
HIST1H4B	-0.7525
FAM20B	-0.837230769230769
HES2	-0.672947368421053
FAM73B	-0.00507692307692308
LOC388381	-0.385
INTS7	-0.985714285714286
AMPH	2.87716666666667
ZNF775	0.5167
UCKL1	-0.62075
C10orf97	0.2812
C1orf161	0.045
ALDH1L1	3.4222
FLJ39378	1.04372727272727
SLC23A1	-1.745
RBM4B	1.2162
THAP4	0.15775
OGFRL1	0.3124
KIAA0831	0.742363636363636
PPP1R15A	-0.405875
C1orf96	1.08521052631579
C12orf11	-0.5072
BMF	-0.811363636363636
MAN1A1	-3.0035
KIAA1600	0.628875
NLGN4X	3.954
ALOX12	-0.464
RB1CC1	0.497428571428571
NEIL2	1.52292307692308
EIF4E	-0.012
ABHD5	-1.3552
EXOC4	0.575375
CIP29	0.12375
BATF2	0.1932
SLC29A4	0.517181818181818
HTR4	0.811833333333333
EMB	-3.4434
TRAF6	0.6042
LMNB1	-3.1308
FAM19A5	1.76081818181818
SHE	0.645
PIK3C2B	0.915
C15orf15	-0.388714285714286
USP15	0.0243846153846154
TCEAL2	5.565
C5orf39	-0.777
PTGER2	-3.2614
SLC31A1	-1.00666666666667
IFT172	0.7792
ADAM29	0.4652
GFOD1	1.4408
ST7L	0.56625
C15orf26	-2.13
PKN3	-2.204
CNTD1	1.03525
COMMD1	-0.2342
NTRK2	5.842125
FOXN3	1.76181818181818
MFGE8	-1.19146153846154
PFKFB2	1.559125
TAS2R4	0.2062
ENTHD1	-0.182375
PRMT5	0.00259999999999998
MGC16384	-0.663
LOC442229	-1.374
TSKU	-1.08318181818182
KRTCAP3	-2.10172727272727
PDLIM1	-1.33938461538462
