Hybridization REF	TCGA-DH-5142-01A-01R-1470-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.3643125
CREB3L1	-1.5475
RPS11	0.0287
PNMA1	2.7474
MMP2	-0.54525
C10orf90	0.214
ZHX3	1.172
ERCC5	0.5866
GPR98	1.75827272727273
RXFP3	0.309666666666667
APBB2	1.1102
PRO0478	-0.727636363636364
KLHL13	0.32
PRSSL1	-0.31875
PDCL3	-0.040875
DECR1	0.3141
SALL1	2.528625
CADM4	1.182875
RPS18	-0.289736842105263
HNRPD	0.212466666666667
CFHR5	0.305142857142857
SLC10A7	1.02081818181818
OR2K2	-0.334333333333333
LMAN1	-2.66236363636364
SUHW1	-2.6774
CHD8	-0.126615384615385
SUMO1	-0.0373076923076923
GP1BA	0.184538461538462
DDB1	0.210625
MYO9B	0.429785714285714
MMP7	5.248
CRNKL1	0.322
C9orf45	-0.805375
XAB2	0.5429
RTN1	3.8973
KLHL14	-1.8223
TBX10	-1.46633333333333
CENPQ	-0.4202
UTY	1.33215789473684
ZBTB12	0.0556666666666667
DTNBP1	-0.4127
KBTBD8	0.862
ZEB1	3.598
ZG16	-2.1682
MIER1	0.251615384615385
ADAM5P	-1.037
CHD9	0.593714285714286
STK16	-0.6324
KIAA1486	0.316666666666667
TOB2	1.6268125
BANK1	2.1398
OR2V2	0.4988
GRM2	0.123125
PROSC	0.6
SPIN2B	0.5
PIR	-2.78972727272727
IPO9	0.253857142857143
EVC	-1.29775
CXCL13	0.924
KIAA1199	-1.55415384615385
SORL1	3.4772
NAT10	-1.1512
CHD1	-0.8578
SYN3	0.893
SLC22A2	-0.9122
SERPINF1	-2.03075
WDR34	-0.5716
OR7A17	0.3248
C9orf11	0.0946666666666667
RNF216L	0.0245833333333333
LHB	0.048
STK25	0.182
TAOK3	2.3475
LOC152573	-1.4306
C3orf39	2.2993
C14orf108	0.583538461538461
CDC25B	-0.691785714285714
BMP3	0.432333333333333
TMEM180	0.579
MAP1LC3C	0.4388
CRYGC	-0.984666666666667
POU3F1	0.226846153846154
C20orf32	-1.369
CCDC95	-0.0395
HIGD1B	4.8686
USP6NL	-0.0162
