name	TCGA-DB-5281	TCGA-E1-5304	TCGA-CS-4944	TCGA-DB-5274	TCGA-DH-5140	TCGA-E1-5311	TCGA-CS-5390	TCGA-DB-5275	TCGA-DH-5141	TCGA-E1-5318
ELMO2	1.6325625	0.94275	1.3558125	0.8185	1.489	1.4855625	1.192	1.363375	1.3080625	0.9596875
CREB3L1	-0.774833333333	-1.49116666667	-0.5215	0.262	-1.0255	-0.169333333333	-0.334833333333	-1.1465	-0.1735	0.263166666667
RPS11	0.2122	0.9906	-0.5211	0.4767	0.5471	0.2007	0.5462	-0.3006	-0.4983	0.3011
PNMA1	3.2552	2.4422	2.2428	2.6394	2.6006	3.0906	3.2412	3.0824	3.0248	2.9536
MMP2	-1.648375	-1.0845	-0.76625	-1.469625	-0.916125	-1.0775	-0.724375	-1.387375	-1.31625	-0.8225
C10orf90	-0.1822	1.2712	0.9188	1.1734	0.3988	0.3888	0.6384	0.1576	1.4658	-0.681
ZHX3	1.0895	1.42925	2.17325	1.253375	1.42175	1.70175	1.208375	1.888125	1.041375	0.7435
ERCC5	0.0088	0.058	0.0428	0.3646	0.175	0.3828	0.3534	0.9742	-0.2134	0.1462
GPR98	1.27083333333	0.157083333333	0.691583333333	1.01090909091	1.17666666667	1.47316666667	1.21327272727	1.84291666667	1.2915	-0.632083333333
RXFP3	0.438333333333	0.445333333333	0.787333333333	0.460666666667	0.280666666667	0.487666666667	0.076	0.434666666667	0.384666666667	0.487333333333
APBB2	0.8812	1.5448	0.4512	1.5686	1.7112	1.1898	1.685	0.8612	1.4346	2.016
PRO0478	-0.516909090909	-1.18154545455	-0.443818181818	-0.545636363636	-0.684727272727	-0.822090909091	-0.447727272727	-0.155272727273	-0.461363636364	-0.997909090909
KLHL13	1.218	1.0798	0.829	1.8116	2.8712	1.1646	1.7428	1.3416	0.8714	1.5622
PRSSL1	-0.970625	-0.691625	-0.85875	-0.85725	-1.022375	-0.983625	-1.13475	-0.975625	-0.94775	-0.788
PDCL3	-0.0425	0.187875	-0.13	0.319625	0.453	-0.237125	0.226625	-0.071625	-0.027	-0.047625
DECR1	0.5764	-1.1799	-0.0179	0.6997	-0.5883	0.7439	0.3614	0.3439	0.3052	0.4549
SALL1	1.682375	2.881625	1.721125	1.041125	1.988375	1.403875	0.623375	2.490125	1.939625	0.779625
CADM4	1.787	1.978625	2.447625	1.511875	2.22525	1.20475	2.008875	1.419875	1.82625	1.639375
RPS18	-0.583684210526	0.205052631579	-0.634842105263	0.585578947368	-0.572210526316	-0.444631578947	0.0633684210526	-1.11936842105	-0.653789473684	0.108736842105
HNRPD	0.0810666666667	0.683733333333	0.272933333333	0.1292	0.587466666667	0.103933333333	0.541533333333	-0.310933333333	0.462066666667	0.326866666667
CFHR5	0.415375	0.244	0.195875	0.239	0.835375	0.0295714285714	0.111428571429	-0.122285714286	0.0802857142857	0.364375
SLC10A7	0.425727272727	0.416545454545	0.662090909091	0.376909090909	0.799545454545	0.388818181818	0.423636363636	0.777090909091	0.499909090909	0.615090909091
OR2K2	0.765	0.619	0.714666666667	0.671333333333	0.663333333333	0.690333333333	0.791	0.211	0.0806666666667	0.73
LMAN1	-2.14272727273	-2.01709090909	-2.19627272727	-1.92345454545	-2.74754545455	-2.078	-2.07	-2.58445454545	-2.41754545455	-2.06681818182
SUHW1	-2.4054	-2.4362	-2.2306	-3.0536	-2.5136	-3.083	-2.8806	-2.4822	-2.4394	-2.3238
CHD8	0.0825384615385	0.147230769231	-0.252538461538	-0.220846153846	-0.476692307692	-0.204461538462	-0.189307692308	0.615769230769	-0.172	-0.0203076923077
SUMO1	-0.0287692307692	0.847769230769	0.130384615385	0.188615384615	0.291461538462	0.0165384615385	0.161153846154	0.230538461538	0.269615384615	0.123769230769
GP1BA	0.344461538462	0.317615384615	0.732384615385	0.543692307692	0.129923076923	0.426153846154	0.229076923077	0.543384615385	0.442461538462	0.317461538462
DDB1	0.371	0.617875	0.484125	-0.121125	0.017375	0.024625	-0.14375	0.2305	0.156375	-0.01675
MYO9B	-0.169785714286	0.600214285714	-0.327	0.116	0.249071428571	-0.321428571429	0.015	-0.0658571428571	-0.404928571429	-0.199857142857
MMP7	-0.1936	1.2394	-0.8096	-0.6244	1.5016	-1.263	-1.3204	1.5332	-1.4944	-0.9306
CRNKL1	0.2079	0.7923	-0.0013	0.1041	0.4225	0.5189	0.1173	-0.1363	0.0473	0.3136
C9orf45	0.0135	-0.492875	-0.723875	-0.240625	0.754	0.36475	0.022625	-0.187	-0.4645	0.123625
XAB2	0.3387	1.0742	0.1911	0.6779	0.4109	0.8123	0.606	0.3558	0.5924	0.7496
RTN1	3.9492	3.37	4.1589	3.89	3.8357	4.6099	4.2994	4.4634	4.2268	3.9056
KLHL14	-0.535	-1.2071	-1.19544444444	-1.5367	-1.1134	-0.8715	-1.2403	-1.4493	-1.6172	-1.5503
TBX10	-0.732333333333	-0.617333333333	-1.22466666667	-1.497	-1.056	-1.01066666667	-1.01566666667	-1.075	-0.986666666667	-1.03466666667
CENPQ	-0.4386	0.5346	-0.2124	0.0286	0.3234	-0.0654	0.196	-0.7192	0.2944	-0.1512
UTY	1.58842105263	1.83436842105	1.39831578947	-1.46871428571	-1.16315789474	1.97626315789	-1.183	1.63084210526	1.49973684211	-1.11777777778
ZBTB12	-0.202666666667	0.143333333333	0.322333333333	-0.286333333333	0.151333333333	0.0376666666667	0.193666666667	0.189333333333	0.580333333333	0.021
DTNBP1	-0.858	-0.8618	0.2442	-1.0351	-0.066	-1.3731	-1.0245	-0.4488	-1.5674	-1.6291
KBTBD8	-0.07875	-0.121125	-0.481625	0.44175	1.116125	0.41725	-0.581625	-0.3095	-0.824	-0.096
ZEB1	3.128	4.1955	2.938875	3.250625	3.142375	2.745125	3.7615	4.16325	3.488125	4.1355
ZG16	-1.6038	-1.1862	-1.522	-1.7454	-1.6594	-1.339	-1.4258	-1.427	-1.797	-1.32775
MIER1	-0.211153846154	0.386769230769	0.319076923077	-0.772384615385	0.0546923076923	-0.923	-0.635923076923	0.240076923077	-0.290230769231	-0.409923076923
ADAM5P	-0.0523333333333	-0.469666666667	1.341	-0.134	0.212333333333	-0.341333333333	0.146333333333	0.326333333333	0.451	0.288666666667
